sigma_ang_deg,seed,tight_captured,t_capture_tight_s,final_dist_tight_km,final_vrel_tight_ms,loose_captured,t_capture_loose_s,final_vrel_loose_ms,wall_time_s
0.001,42,True,86990.0,0.09967919434327206,0.0901502227350168,True,86990.0,0.0901502227350168,12.233357906341553
0.001,43,True,86960.0,0.09937683587278887,0.08757170383709746,True,86960.0,0.08757170383709746,12.275166749954224
0.001,44,True,87000.0,0.09952720971270183,0.08792451749283735,True,87000.0,0.08792451749283735,12.516130924224854
0.004,42,True,68230.0,0.099875091582442,0.07294267799655406,True,68230.0,0.07294267799655406,9.672942161560059
0.004,43,True,68390.0,0.09994190433650069,0.0794735563297555,True,68390.0,0.0794735563297555,9.82454228401184
0.004,44,True,68580.0,0.09976783972170271,0.08835252316833575,True,68580.0,0.08835252316833575,9.770494937896729
0.008,42,False,nan,0.09982019699736333,0.1708819364602638,True,54800.0,0.1708819364602638,7.93749475479126
0.008,43,False,nan,0.09985661615223218,0.13635922947782558,True,55080.0,0.13635922947782558,7.744565725326538
0.008,44,False,nan,0.09957837474957171,0.15564989584230626,True,55140.0,0.15564989584230626,7.821908235549927
0.02,42,False,nan,0.09309007263638937,1.1244598539528554,True,41120.0,1.1244598539528554,5.733157396316528
0.02,43,False,nan,0.09725778267021673,1.1384895816525504,True,40940.0,1.1384895816525504,5.697052001953125
0.02,44,False,nan,0.09822636097100884,0.41228412780396084,True,40370.0,0.41228412780396084,5.730698823928833
0.05,42,False,nan,0.09950978576921324,0.7040240948998032,True,39220.0,0.7040240948998032,5.530948638916016
0.05,43,False,nan,0.09524545450339775,0.7367750612281694,True,38780.0,0.7367750612281694,5.346009731292725
0.05,44,False,nan,0.09978670641338465,1.347426397424818,True,37530.0,1.347426397424818,5.181517124176025
0.1,42,False,nan,0.09765002668001724,1.978635716423678,True,37130.0,1.978635716423678,5.265060186386108
0.1,43,False,nan,0.09950727562103454,0.7694236254588704,True,38470.0,0.7694236254588704,5.385915756225586
0.1,44,False,nan,0.07033603346667126,4.0350665464257345,True,38310.0,4.0350665464257345,5.2082438468933105
