seed,dt,q_scale,F_rel_fro,F_max_abs,P_rel_fro,P_max_abs,P_trace_rel,mean_pos_diff_m,mean_vel_diff_m_s
0,2.0,0.0,3.401948383321779e-08,8.37328329232982e-08,1.1784607823699385e-07,1.46917322234769e-12,8.341916876152156e-14,0.0,0.0
0,2.0,0.01,3.401948383321779e-08,8.37328329232982e-08,9.17114852469737e-08,1.46917322234769e-12,6.511832379874303e-14,0.0,0.0
0,2.0,0.1,3.401948383321779e-08,8.37328329232982e-08,3.061212817349044e-08,1.46917322234769e-12,2.166767155907175e-14,0.0,0.0
0,2.0,1.0,3.401948383321779e-08,8.37328329232982e-08,3.995251941228122e-09,1.46917322234769e-12,2.7929174298604273e-15,0.0,0.0
0,5.0,0.0,4.00921367799004e-08,2.0933208230824552e-07,2.9461244535890733e-07,3.672933048943022e-12,1.1804732068775278e-13,0.0,3.469446951953614e-15
0,5.0,0.01,4.00921367799004e-08,2.0933208230824552e-07,2.2927704736268083e-07,3.672933048943022e-12,9.196644162997097e-14,0.0,3.469446951953614e-15
0,5.0,0.1,4.00921367799004e-08,2.0933208230824552e-07,7.6530134754387e-08,3.672933048943022e-12,3.089641972905159e-14,0.0,3.469446951953614e-15
0,5.0,1.0,4.00921367799004e-08,2.0933208230824552e-07,9.988126674956401e-09,3.672933048943022e-12,4.049728992002804e-15,0.0,3.469446951953614e-15
0,10.0,0.0,4.12544729449852e-08,4.1866416461649105e-07,5.892052505711723e-07,7.345866097886044e-12,2.4561262857054627e-13,0.0,3.878959614448864e-15
0,10.0,0.01,4.12544729449852e-08,4.1866416461649105e-07,4.5854219962775715e-07,7.345866097886044e-12,1.9134133668698184e-13,0.0,3.878959614448864e-15
0,10.0,0.1,4.12544729449852e-08,4.1866416461649105e-07,1.530589441622748e-07,7.345866097886044e-12,6.393229768131111e-14,0.0,3.878959614448864e-15
0,10.0,1.0,4.12544729449852e-08,4.1866416461649105e-07,1.997623076917626e-08,7.345866097886044e-12,8.518385840460243e-15,0.0,3.878959614448864e-15
1,2.0,0.0,7.086618842094823e-07,2.6216645049262354e-06,2.4548743821510857e-06,4.599962939605488e-11,5.652421083233458e-12,0.0,1.939479807224432e-15
1,2.0,0.01,7.086618842094823e-07,2.6216645049262354e-06,1.910459635576269e-06,4.599962939605488e-11,4.3985924995075504e-12,0.0,1.939479807224432e-15
1,2.0,0.1,7.086618842094823e-07,2.6216645049262354e-06,6.376871454799116e-07,4.599962939605488e-11,1.4683191257698786e-12,0.0,1.939479807224432e-15
1,2.0,1.0,7.086618842094823e-07,2.6216645049262354e-06,8.322586366546368e-08,4.599962939605488e-11,1.9159413568834444e-13,0.0,1.939479807224432e-15
1,5.0,0.0,8.351657686576588e-07,6.554161262387868e-06,6.137128675992688e-06,1.149990734966001e-10,3.492643033873759e-11,0.0,8.673617379884035e-16
1,5.0,0.01,8.351657686576588e-07,6.554161262387868e-06,4.776114398147884e-06,1.149990734966001e-10,2.7180391296295765e-11,0.0,8.673617379884035e-16
1,5.0,0.1,8.351657686576588e-07,6.554161262387868e-06,1.5942139987834166e-06,1.149990734966001e-10,9.072044836968611e-12,0.0,8.673617379884035e-16
1,5.0,1.0,8.351657686576588e-07,6.554161262387868e-06,2.0806459335278852e-07,1.149990734966001e-10,1.1841966155894198e-12,0.0,8.673617379884035e-16
1,10.0,0.0,8.593784320125513e-07,1.3108322524775737e-05,1.227384822754887e-05,2.299981469897371e-10,1.394768208588067e-10,0.0,8.673617379884035e-16
1,10.0,0.01,8.593784320125513e-07,1.3108322524775737e-05,9.551981010477505e-06,2.299981469897371e-10,1.085436325916867e-10,0.0,8.673617379884035e-16
1,10.0,0.1,8.593784320125513e-07,1.3108322524775737e-05,3.1884003904361057e-06,2.299981469897371e-10,3.6229282846709616e-11,0.0,8.673617379884035e-16
1,10.0,1.0,8.593784320125513e-07,1.3108322524775737e-05,4.1612871651228246e-07,2.299981469897371e-10,4.728402369753116e-12,0.0,8.673617379884035e-16
2,2.0,0.0,5.16212812046002e-07,1.0974590764139745e-06,1.7882116839870719e-06,1.9255976763314127e-11,5.950052438449347e-13,0.0,1.734723475976807e-15
2,2.0,0.01,5.16212812046002e-07,1.0974590764139745e-06,1.3916419784901244e-06,1.9255976763314127e-11,4.630413732234117e-13,0.0,1.734723475976807e-15
2,2.0,0.1,5.16212812046002e-07,1.0974590764139745e-06,4.6451240542702865e-07,1.9255976763314127e-11,1.5474997527021291e-13,0.0,1.734723475976807e-15
2,2.0,1.0,5.16212812046002e-07,1.0974590764139745e-06,6.062447141832981e-08,1.9255976763314127e-11,1.996935962349462e-14,0.0,1.734723475976807e-15
2,5.0,0.0,6.08362425627896e-07,2.743647691016866e-06,4.47048748530766e-06,4.813994191489447e-11,3.3179407232249374e-12,0.0,1.939479807224432e-15
