geometry,seed,sigma_theta_deg,jacobian_T_FP,ukf_T_FP,delta_T_FP,jacobian_v_FP,ukf_v_FP,delta_v_FP,jacobian_T_soft,ukf_T_soft,delta_T_soft,jacobian_T_sustain,ukf_T_sustain,delta_T_sustain,jacobian_total_delta_v,ukf_total_delta_v,delta_total_delta_v,jacobian_peak_accel,ukf_peak_accel,delta_peak_accel,jacobian_control_energy,ukf_control_energy,delta_control_energy,jacobian_rmse_pos_x,ukf_rmse_pos_x,delta_rmse_pos_x,jacobian_rmse_pos_y,ukf_rmse_pos_y,delta_rmse_pos_y,jacobian_rmse_pos_z,ukf_rmse_pos_z,delta_rmse_pos_z,jacobian_rmse_dist,ukf_rmse_dist,delta_rmse_dist,jacobian_final_pos_err,ukf_final_pos_err,delta_final_pos_err,jacobian_final_vel_err,ukf_final_vel_err,delta_final_vel_err,jacobian_est_dist_bias,ukf_est_dist_bias,delta_est_dist_bias,jacobian_est_radial_vel_bias,ukf_est_radial_vel_bias,delta_est_radial_vel_bias,jacobian_nis_mean,ukf_nis_mean,delta_nis_mean,jacobian_nees_mean,ukf_nees_mean,delta_nees_mean,jacobian_nis_inlier_frac,ukf_nis_inlier_frac,delta_nis_inlier_frac,jacobian_nees_inlier_frac,ukf_nees_inlier_frac,delta_nees_inlier_frac,jacobian_are_fallback_count,ukf_are_fallback_count,delta_are_fallback_count,jacobian_exit_count,ukf_exit_count,delta_exit_count,jacobian_time_in_sphere_frac,ukf_time_in_sphere_frac,delta_time_in_sphere_frac,jacobian_P_eig_min,ukf_P_eig_min,delta_P_eig_min,jacobian_P_cond,ukf_P_cond,delta_P_cond,jacobian_sustained,ukf_sustained
alongtrack,0,0.001,17570.0,17570.0,0.0,7.343261496692841e-05,7.34410265315474e-05,8.411564618991153e-09,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.029564383255510217,0.029564972677357682,5.894218474654378e-07,1.2474148139623628e-05,1.2476566562990427e-05,2.418423366798924e-09,1.65177674443913e-07,1.6522516874368982e-07,4.7494299776810886e-11,1.7470568497006416,1.8356843868527808,0.08862753715213922,26.86518757437226,29.11690661760869,2.251719043236431,1.005621700463249,1.0665776834890064,0.06095598302575733,26.940708714633583,29.194204495097935,2.253495780464352,1.9806065128683425e-08,2.0419790559419892e-08,6.137254307364664e-10,1.6477394210461798e-11,1.718173791969965e-11,7.043437092378512e-13,0.0023410981913255815,0.0026695016213392456,0.0003284034300136641,2.363787755932837e-07,2.984498465214809e-07,6.207107092819722e-08,2.0226700034033107,2.022596533448423,-7.346995488788366e-05,6.398658366667228,6.398217987749076,-0.00044037891815218444,,0.9978118161925602,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.402712506998253e-31,,,2348833769.461141,,True,True
alongtrack,0,0.008,17580.0,17580.0,0.0,7.346103100559061e-05,7.345884002764332e-05,-2.1909779472872827e-09,17580.0,17580.0,0.0,17580.0,17580.0,0.0,0.029596210454802367,0.0295961345285201,-7.592628226832376e-08,1.2566531945330078e-05,1.2563604733191701e-05,-2.927212138376846e-09,1.6616344171074676e-07,1.661423571209237e-07,-2.1084589823065724e-11,5.8812316664868,5.826429053065588,-0.054802613421212065,53.81232711574728,53.15796929333937,-0.6543578224079099,2.693319099173981,2.6627442473619154,-0.03057485181206543,54.199717741857775,53.5425735450667,-0.6571441967910729,1.6128084922076528e-07,1.623690975394111e-07,1.0882483186458166e-09,1.3554502075928644e-10,1.3695289751883502e-10,1.4078767595485808e-12,0.006478979791738164,0.0063652332610311035,-0.0001137465307070604,7.186074090768394e-07,6.931515991085152e-07,-2.5455809968324262e-08,2.0226192087884196,2.0225841197543706,-3.508903404902952e-05,6.463659022512512,6.456385250576344,-0.007273771936167961,,0.9976294675419402,,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.1857778092360553e-29,,,2337571115.5434675,,True,True
alongtrack,0,0.1,17570.0,17570.0,0.0,7.275023309036943e-05,7.274081962843005e-05,-9.413461939374664e-09,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.02950558445560227,0.029503710531965203,-1.8739236370655943e-06,1.2499126625189572e-05,1.2500269480260847e-05,1.1428550712752839e-09,1.6724896788161807e-07,1.6726708122447028e-07,1.8113342852209372e-11,28.919674437430082,29.053278311451866,0.13360387402178375,86.16405800033385,86.97798646299958,0.8139284626657286,9.690708102787042,9.733331700839637,0.04262359805259486,91.4029664955425,92.21713970731793,0.8141732117754259,2.0240436174718204e-06,2.0197214070824355e-06,-4.3222103893848555e-09,1.7044873273727607e-09,1.7007415577364829e-09,-3.745769636277816e-12,0.017084542583788102,0.01717308906829334,8.854648450523639e-05,4.180972678308423e-06,4.209858905312844e-06,2.8886227004420626e-08,2.0226221104766164,2.0226092053597844,-1.2905116832051533e-05,7.082595910986424,7.073080895097785,-0.009515015888638345,,0.9976294675419402,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.234622705731493e-27,,,2348605531.1609807,,True,True
alongtrack,1,0.001,17580.0,17580.0,0.0,7.332279088694745e-05,7.332676287633527e-05,3.971989387827816e-09,17580.0,17580.0,0.0,17580.0,17580.0,0.0,0.029573463138162673,0.029573802244625236,3.3910646256296584e-07,1.2349136098868024e-05,1.2350252298838777e-05,1.1161999707529904e-09,1.6446040614750268e-07,1.64475445747269e-07,1.503959976632133e-11,1.9053119901544433,1.8843041920710857,-0.02100779808335762,33.454258922613946,34.275260266132584,0.8210013435186383,1.071362612400306,1.0626548913808853,-0.008707721019420633,33.52559427792996,34.343460862550806,0.8178665846208446,1.114323209505384e-08,1.085203783970924e-08,-2.9119425534459986e-10,1.6922908468383687e-11,1.6720308904354533e-11,-2.0259956402915415e-13,0.0005629133504291037,0.0006759845210395273,0.00011307117061042365,-8.805795251164309e-07,-8.68000508508437e-07,1.2579016607993898e-08,2.013364067854398,2.0133904472027284,2.63793483306074e-05,8.643304872438497,8.63422511936934,-0.009079753069157093,,0.9981765134938001,,,0.9730123997082422,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.392172378524248e-31,,,2351224927.6000843,,True,True
alongtrack,1,0.008,17590.0,17590.0,0.0,7.338826589110172e-05,7.338902390154411e-05,7.580104423917516e-10,17590.0,17590.0,0.0,17590.0,17590.0,0.0,0.029622538842228496,0.029622648771168374,1.0992893987801788e-07,1.2406574854000997e-05,1.240793386213919e-05,1.3590081381917925e-09,1.6455026530644703e-07,1.645592631616363e-07,8.997855189265054e-12,8.668263519926068,8.637497518237273,-0.03076600168879473,34.29771254870006,34.29328039741505,-0.004432151285008956,3.0869244898910435,3.0773498967493027,-0.009574593141740806,35.51057562657113,35.49796509914772,-0.012610527423412066,8.876369595583971e-08,8.898368236892328e-08,2.1998641308356897e-10,1.34315907876977e-10,1.3471678791415805e-10,4.0088003718105505e-13,0.0008226644241673412,0.0008438003680090214,2.1135943841680193e-05,-1.7450331507165655e-06,-1.7335730173396442e-06,1.1460133376921328e-08,2.0133105067156647,2.0133062330124782,-4.273703186452593e-06,8.644527182162205,8.63776217276828,-0.006765009393925325,,0.9981765134938001,,,0.9731947483588621,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.177687449307194e-29,,,2336217687.415964,,True,True
alongtrack,1,0.1,17630.0,17630.0,0.0,7.174868460715182e-05,7.173570414368523e-05,-1.2980463466586074e-08,17630.0,17630.0,0.0,17630.0,17630.0,0.0,0.02953154640154671,0.029529668105809714,-1.8782957369976871e-06,1.2451508391759883e-05,1.2452482857342514e-05,9.744655826312806e-10,1.6426736129405208e-07,1.642691403359826e-07,1.7790419305343241e-12,39.827951665780866,39.746767961008175,-0.0811837047726911,74.9603336755372,74.82895496865903,-0.13137870687816644,12.11503481727084,12.107036463275728,-0.00799835399511295,85.74433758134317,85.59064433085497,-0.15369325048820315,9.250601265387802e-07,9.262262004618017e-07,1.1660739230214893e-09,1.4198707679607244e-09,1.4195990619614461e-09,-2.71705999278316e-13,-0.002227849794126363,-0.0022448499194323655,-1.700012530600264e-05,8.074094721987078e-07,8.244737204695153e-07,1.706424827080747e-08,2.013391120645954,2.013382390592183,-8.730053771000001e-06,8.007977898061746,8.005622948448668,-0.002354949613078361,,0.9979941648431802,,,0.9945295404814004,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.1104194451834384e-27,,,2288488628.807915,,True,True
alongtrack,2,0.001,17560.0,17560.0,0.0,7.335834048956639e-05,7.336239017053772e-05,4.049680971327505e-09,17560.0,17560.0,0.0,17560.0,17560.0,0.0,0.029545469930162962,0.029546709110263306,1.2391801003444614e-06,1.2428574330309257e-05,1.2430672355434874e-05,2.0980251256169793e-09,1.637233245891068e-07,1.63678735503932e-07,-4.4589085174816874e-11,3.322599247753706,3.477427729581078,0.15482848182737197,76.80139072499355,80.17425527047523,3.3728645454816757,2.3807656147521388,2.5012117809310195,0.12044616617888071,76.91008599635477,80.28860300293469,3.3785170065799264,3.942419856128268e-09,6.676741229598178e-09,2.7343213734699096e-09,5.006618538070087e-12,7.97112643772342e-12,2.964507899653333e-12,-0.00724172367746957,-0.007558919947852035,-0.0003171962703824643,-1.4418494868572954e-06,-1.5744716845139854e-06,-1.3262219765669e-07,2.0192953371969384,2.019197592405364,-9.774479157442784e-05,6.384094426714311,6.405542600325556,0.021448173611244847,,0.9974471188913202,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.411429889427883e-31,,,2327993080.061673,,True,True
alongtrack,2,0.008,17570.0,17570.0,0.0,7.335295024246306e-05,7.335345074456147e-05,5.005020984114169e-10,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.029586325312223802,0.029586366097392573,4.0785168770041125e-08,1.2246143689569718e-05,1.2248314255828346e-05,2.170566258627866e-09,1.6307436959148124e-07,1.6308435239265908e-07,9.982801177838257e-12,9.163021544717061,9.125664816015421,-0.03735672870164031,81.38200716828163,81.09558525462705,-0.2864219136545785,4.235584672831593,4.215411560795791,-0.02017311203580263,82.00568414499033,81.71622483174096,-0.2894593132493668,4.211701221565553e-08,4.103723128728868e-08,-1.0797809283668539e-09,5.129586068212707e-11,5.01331645509233e-11,-1.1626961312037678e-12,-0.008882339383853327,-0.008867379228420506,1.4960155432820754e-05,-2.868969102940357e-06,-2.8572412632969907e-06,1.1727839643366108e-08,2.0191623513499497,2.0191401978978174,-2.21534521323008e-05,6.3495985285779195,6.349462891474578,-0.00013563710334185686,,0.9974471188913202,,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.1802818683720704e-29,,,2336926434.848549,,True,True
alongtrack,2,0.1,17540.0,17540.0,0.0,7.47744770171407e-05,7.476745536208784e-05,-7.021655052861196e-09,17540.0,17540.0,0.0,17540.0,17540.0,0.0,0.029800500014158106,0.02979946736685897,-1.0326472991359359e-06,1.216114888063849e-05,1.2161454257199135e-05,3.0537656064416195e-10,1.631406120260732e-07,1.6314049547569353e-07,-1.1655037966590466e-13,38.326291895340574,38.037472091606716,-0.2888198037338583,103.7040887011178,103.4577506864889,-0.24633801462890403,11.004279522940926,10.924543413051357,-0.07973610988956992,111.10597117884876,110.76868288921331,-0.33728828963545254,5.448927009660019e-07,5.407944120284279e-07,-4.098288937573914e-09,6.433069227484677e-10,6.400438021095466e-10,-3.263120638921118e-12,-0.010178402959973394,-0.010192630746141202,-1.4227786167808273e-05,-5.052331966421922e-06,-5.0503787263435854e-06,1.9532400783369303e-09,2.0192251530619725,2.0192080879534875,-1.706510848498155e-05,6.297059687193919,6.296271957159324,-0.0007877300345944249,,0.9974471188913202,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.586963699349194e-27,,,2356003128.608299,,True,True
alongtrack,3,0.001,17580.0,17580.0,0.0,7.324590897093286e-05,7.324567231470801e-05,-2.366562248495548e-10,17580.0,17580.0,0.0,17580.0,17580.0,0.0,0.02958869335222558,0.029589149436117564,4.5608389198301125e-07,1.234115702439873e-05,1.234639226595533e-05,5.235241556600392e-09,1.6304368983371105e-07,1.6302444720524458e-07,-1.9242628466470794e-11,5.308415840545115,5.37326776688798,0.06485192634286463,98.56513073876332,101.09163633365291,2.526505594889599,3.571602867020373,3.6390917127495155,0.06748884572914227,98.77257019702058,101.29972325531799,2.527153058297401,3.537247656495544e-08,3.554769376869147e-08,1.752172037360337e-10,4.2380099422706314e-11,4.243145019306284e-11,5.135077035652896e-14,-0.010352922926009523,-0.010569622950523506,-0.00021670002451398308,-4.175582188696978e-06,-4.243842217991752e-06,-6.826002929477382e-08,2.0108997572742457,2.010885938273151,-1.3819001094539374e-05,6.68883035368696,6.693269288028668,0.004438934341708389,,0.9963530269876003,,,0.9990882567469,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.41096503540176e-31,,,2309903245.0549846,,True,True
