seed,geometry,sigma_theta_deg,nav_type,T_FP,v_FP,T_soft,v_at_soft,T_sustain,sustained,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,nis_inlier_frac,nees_inlier_frac,are_fallback_count,P_eig_min,P_cond,wall_time_s
0,alongtrack,0.001,ukf,17570.0,7.34410265315474e-05,17570.0,7.34410265315474e-05,17570.0,True,0,1.0,0.029564972677357682,1.2476566562990427e-05,1.6522516874368982e-07,1.8356843868527808,29.11690661760869,1.0665776834890064,29.194204495097935,2.0419790559419892e-08,1.718173791969965e-11,0.0026695016213392456,2.984498465214809e-07,2.022596533448423,6.398217987749076,0.9978118161925602,1.0,0,3.402712506998253e-31,2348833769.461141,83.96940099998028
0,alongtrack,0.008,ukf,17580.0,7.345884002764332e-05,17580.0,7.345884002764332e-05,17580.0,True,0,1.0,0.0295961345285201,1.2563604733191701e-05,1.661423571209237e-07,5.826429053065588,53.15796929333937,2.6627442473619154,53.5425735450667,1.623690975394111e-07,1.3695289751883502e-10,0.0063652332610311035,6.931515991085152e-07,2.0225841197543706,6.456385250576344,0.9976294675419402,1.0,1,2.1857778092360553e-29,2337571115.5434675,84.17937300002086
0,alongtrack,0.1,ukf,17570.0,7.274081962843005e-05,17570.0,7.274081962843005e-05,17570.0,True,0,1.0,0.029503710531965203,1.2500269480260847e-05,1.6726708122447028e-07,29.053278311451866,86.97798646299958,9.733331700839637,92.21713970731793,2.0197214070824355e-06,1.7007415577364829e-09,0.01717308906829334,4.209858905312844e-06,2.0226092053597844,7.073080895097785,0.9976294675419402,1.0,0,3.234622705731493e-27,2348605531.1609807,80.02985429999535
1,alongtrack,0.001,ukf,17580.0,7.332676287633527e-05,17580.0,7.332676287633527e-05,17580.0,True,0,1.0,0.029573802244625236,1.2350252298838777e-05,1.64475445747269e-07,1.8843041920710857,34.275260266132584,1.0626548913808853,34.343460862550806,1.085203783970924e-08,1.6720308904354533e-11,0.0006759845210395273,-8.68000508508437e-07,2.0133904472027284,8.63422511936934,0.9981765134938001,0.9730123997082422,0,3.392172378524248e-31,2351224927.6000843,79.62081920000492
1,alongtrack,0.008,ukf,17590.0,7.338902390154411e-05,17590.0,7.338902390154411e-05,17590.0,True,0,1.0,0.029622648771168374,1.240793386213919e-05,1.645592631616363e-07,8.637497518237273,34.29328039741505,3.0773498967493027,35.49796509914772,8.898368236892328e-08,1.3471678791415805e-10,0.0008438003680090214,-1.7335730173396442e-06,2.0133062330124782,8.63776217276828,0.9981765134938001,0.9731947483588621,2,2.177687449307194e-29,2336217687.415964,79.43241129998933
1,alongtrack,0.1,ukf,17630.0,7.173570414368523e-05,17630.0,7.173570414368523e-05,17630.0,True,0,1.0,0.029529668105809714,1.2452482857342514e-05,1.642691403359826e-07,39.746767961008175,74.82895496865903,12.107036463275728,85.59064433085497,9.262262004618017e-07,1.4195990619614461e-09,-0.0022448499194323655,8.244737204695153e-07,2.013382390592183,8.005622948448668,0.9979941648431802,0.9945295404814004,0,3.1104194451834384e-27,2288488628.807915,79.14291050002794
2,alongtrack,0.001,ukf,17560.0,7.336239017053772e-05,17560.0,7.336239017053772e-05,17560.0,True,0,1.0,0.029546709110263306,1.2430672355434874e-05,1.63678735503932e-07,3.477427729581078,80.17425527047523,2.5012117809310195,80.28860300293469,6.676741229598178e-09,7.97112643772342e-12,-0.007558919947852035,-1.5744716845139854e-06,2.019197592405364,6.405542600325556,0.9974471188913202,1.0,0,3.411429889427883e-31,2327993080.061673,79.65760899998713
2,alongtrack,0.008,ukf,17570.0,7.335345074456147e-05,17570.0,7.335345074456147e-05,17570.0,True,0,1.0,0.029586366097392573,1.2248314255828346e-05,1.6308435239265908e-07,9.125664816015421,81.09558525462705,4.215411560795791,81.71622483174096,4.103723128728868e-08,5.01331645509233e-11,-0.008867379228420506,-2.8572412632969907e-06,2.0191401978978174,6.349462891474578,0.9974471188913202,1.0,1,2.1802818683720704e-29,2336926434.848549,79.56870590001927
2,alongtrack,0.1,ukf,17540.0,7.476745536208784e-05,17540.0,7.476745536208784e-05,17540.0,True,0,1.0,0.02979946736685897,1.2161454257199135e-05,1.6314049547569353e-07,38.037472091606716,103.4577506864889,10.924543413051357,110.76868288921331,5.407944120284279e-07,6.400438021095466e-10,-0.010192630746141202,-5.0503787263435854e-06,2.0192080879534875,6.296271957159324,0.9974471188913202,1.0,0,3.586963699349194e-27,2356003128.608299,79.39981989999069
3,alongtrack,0.001,ukf,17580.0,7.324567231470801e-05,17580.0,7.324567231470801e-05,17580.0,True,0,1.0,0.029589149436117564,1.234639226595533e-05,1.6302444720524458e-07,5.37326776688798,101.09163633365291,3.6390917127495155,101.29972325531799,3.554769376869147e-08,4.243145019306284e-11,-0.010569622950523506,-4.243842217991752e-06,2.010885938273151,6.693269288028668,0.9963530269876003,0.9990882567469,0,3.41096503540176e-31,2309903245.0549846,79.91372320000664
3,alongtrack,0.008,ukf,17580.0,7.306908206183232e-05,17580.0,7.306908206183232e-05,17580.0,True,0,1.0,0.02962498638620893,1.1812499198136215e-05,1.5924992690358716e-07,23.291340513161202,193.58233718021654,11.154858287706626,195.29730841584552,2.8928139414117623e-07,3.4409366992233623e-10,-0.026755351673576042,-9.790912263010809e-06,2.010680506159574,6.859375621811312,0.9963530269876003,0.99945295404814,1,2.10039952814395e-29,2327671919.2643285,86.26516759998049
3,alongtrack,0.1,ukf,17540.0,7.309374268671708e-05,17540.0,7.309374268671708e-05,17540.0,True,0,1.0,0.02963026637374769,1.180346240388612e-05,1.573529766979856e-07,54.015709586808555,237.95219425971558,19.01995066384091,244.74619947699864,3.6919154167610407e-06,4.3556829718670804e-09,-0.03815157293131161,-9.891423634894209e-06,2.0104376519960487,7.279594588032367,0.9963530269876003,0.99981765134938,0,3.0885248486130596e-27,2373855622.0421095,86.5835623999883
4,alongtrack,0.001,ukf,17570.0,7.354439081940162e-05,17570.0,7.354439081940162e-05,17570.0,True,0,1.0,0.029547301007037115,1.2620064715369322e-05,1.6653281997452552e-07,5.990475301730065,112.50138275058848,4.073370576139087,112.73437480638103,5.745249680766672e-09,4.353993577013738e-12,0.010960292464148896,2.8206560280601564e-06,1.9748692740686025,5.635775318464304,0.9961706783369803,1.0,0,3.423151117409107e-31,2356435317.891326,85.90197969999281
4,alongtrack,0.008,ukf,17570.0,7.35401098169173e-05,17570.0,7.35401098169173e-05,17570.0,True,0,1.0,0.029527194442940254,1.2766850506285895e-05,1.6709646808188972e-07,9.789590601453947,112.33911418100537,4.878846961473291,112.87034954668347,4.462748221984557e-08,3.3137854192777954e-11,0.012465910207737064,3.614337005450385e-06,1.9739145330365648,5.509727600901469,0.9959883296863603,1.0,0,2.2143144476090478e-29,2343857704.7045417,86.1833120000083
4,alongtrack,0.1,ukf,17630.0,7.381590487709185e-05,17630.0,7.381590487709185e-05,17630.0,True,0,1.0,0.02963873598942782,1.2661292670244445e-05,1.6929988913984705e-07,37.780653207399155,141.48051993715225,10.835432153262232,146.83842095450575,5.799067252227057e-07,4.430374658046118e-10,0.020408698712814973,2.246424299639629e-06,1.9739741947538711,5.400047266387838,0.9959883296863603,1.0,0,3.5065878015113046e-27,2328894211.52945,85.55476040000212
5,alongtrack,0.001,ukf,17540.0,7.336787128973938e-05,17540.0,7.336787128973938e-05,17540.0,True,0,1.0,0.02948461726551887,1.2484941858981177e-05,1.6462733099637316e-07,2.3891412952978963,33.20438682384873,1.372052612120842,33.31849079485902,8.23968267271082e-09,1.3542882314097984e-11,-0.00033670694945565254,2.690315622510035e-06,2.020356372435284,7.112696142957993,0.9958059810357404,1.0,1,3.392007896682445e-31,2357472804.9315624,85.92212679999648
5,alongtrack,0.008,ukf,17530.0,7.313104039644674e-05,17530.0,7.313104039644674e-05,17530.0,True,0,1.0,0.029396502915793946,1.2706664006782921e-05,1.6702851972737822e-07,13.509745658094674,78.96452624082882,5.870228375277249,80.32664074491639,7.464548812905474e-08,1.2043381343063164e-10,0.010394680959144996,8.428004574923864e-06,2.020370817745469,7.082296946578942,0.9958059810357404,1.0,0,2.2014285154050848e-29,2354852458.175759,85.29688179999357
5,alongtrack,0.1,ukf,17460.0,7.247261316871488e-05,17460.0,7.247261316871488e-05,17460.0,True,0,1.0,0.02894473579742111,1.2666828853773578e-05,1.6678906431048426e-07,49.53673871206616,130.67007345050777,15.649949642396264,140.61819761893602,9.370571025779959e-07,1.500070528808317e-09,0.02363239277971893,1.7182028849030087e-05,2.020423288381475,7.0422225666867035,0.9958059810357404,1.0,0,3.418802480164382e-27,2355242526.067173,86.03642499999842
6,alongtrack,0.001,ukf,17570.0,7.336826045830716e-05,17570.0,7.336826045830716e-05,17570.0,True,0,1.0,0.029556547891117974,1.2335139013833161e-05,1.6395926435937612e-07,2.4493929595926938,47.232417442712645,1.5442928136869014,47.32109068531253,7.11853124770097e-08,7.935752478571346e-11,-0.004288793133802066,-1.483021715663758e-06,2.013209347762441,9.443334125460051,0.9963530269876003,0.9287016776075857,0,3.3978158714427428e-31,2342676187.916371,79.56761159998132
6,alongtrack,0.008,ukf,17570.0,7.324633110086969e-05,17570.0,7.324633110086969e-05,17570.0,True,0,1.0,0.029547779183508066,1.2188319280371182e-05,1.6218868748587922e-07,11.986549931099015,81.60524548315973,5.419022024852951,82.65869143244001,5.684695858634108e-07,6.333194447834134e-10,-0.010518825224889644,-3.337082716947283e-06,2.0130909275747797,9.453848330014662,0.9963530269876003,0.9277899343544858,0,2.1524415856614804e-29,2348911808.2121897,79.55587189999642
6,alongtrack,0.1,ukf,17540.0,7.315173516091412e-05,17540.0,7.315173516091412e-05,17540.0,True,0,1.0,0.029458103114657602,1.2205040290270619e-05,1.6087497488884692e-07,33.19077412232522,102.44972950846997,11.53616565184778,108.30816073198154,6.928133518846639e-06,7.700769618000343e-09,-0.019704616874878945,-3.020655018207299e-06,2.013044214847709,9.517823398728805,0.9959883296863603,0.9268781911013858,0,3.2024929684603467e-27,2350984999.8446155,79.82705150000402
7,alongtrack,0.001,ukf,17580.0,7.340233718589754e-05,17580.0,7.340233718589754e-05,17580.0,True,0,1.0,0.029556403080144223,1.2555303161631145e-05,1.6590878242914597e-07,4.330803515376359,87.62485021756335,2.790806811360751,87.77618604950631,6.384423926664649e-09,6.9503763351323744e-12,0.008515128285399324,1.7566110541252835e-06,2.047315842806233,6.801515232762331,0.9961706783369803,1.0,0,3.3289136346538737e-31,2414859100.7303777,79.8503024999809
7,alongtrack,0.008,ukf,17590.0,7.355036238865688e-05,17590.0,7.355036238865688e-05,17590.0,True,0,1.0,0.029608965691279087,1.2851209409846823e-05,1.672616796918364e-07,12.68116728807632,103.38997138184727,5.849443525388886,104.32887508108237,4.7078491581075025e-08,6.419067453615203e-11,0.010773794732917796,1.600545580790655e-06,2.0470862836404495,6.793374285263179,0.9961706783369803,1.0,0,2.1993751927802083e-29,2340563703.474441,79.38904919999186
7,alongtrack,0.1,ukf,17580.0,7.314361972730874e-05,17580.0,7.314361972730874e-05,17580.0,True,0,1.0,0.029543433888557374,1.247963476693118e-05,1.6606138601141368e-07,35.863954965105236,96.61652839710852,9.960515495047304,103.53834407684649,5.830890565532998e-07,8.402200989411868e-10,0.0070797133461294424,7.226721059317394e-07,2.047068582222503,6.672452813231449,0.9961706783369803,1.0,0,3.3100352172023135e-27,2355891562.742152,79.58532310000737
8,alongtrack,0.001,ukf,17580.0,7.356821099320114e-05,17580.0,7.356821099320114e-05,17580.0,True,0,1.0,0.029574114565434934,1.2402183168570661e-05,1.66419287312914e-07,5.2232975857607515,138.48330623885607,3.610324522381912,138.62879710821673,3.144668617524404e-08,4.253032100266102e-11,0.013202141098597336,2.0464278595428655e-06,2.0098163531567588,7.8997639106715605,0.9970824215900802,0.9981765134938001,0,3.4844204105437233e-31,2317584047.334775,79.73221760001616
8,alongtrack,0.008,ukf,17610.0,7.410322986404211e-05,17610.0,7.410322986404211e-05,17610.0,True,0,1.0,0.029695862619101676,1.2818817913066638e-05,1.6995992106511288e-07,20.942151340543052,169.57533550704343,9.306349466704312,171.11684971239094,2.566214460727751e-07,3.4927822887166767e-10,0.02368525442441092,2.3633310425924145e-06,2.009073692828016,7.717591635027473,0.9974471188913202,0.9981765134938001,0,2.250629335858636e-29,2341446783.9588737,79.35110950001399
8,alongtrack,0.1,ukf,17660.0,7.684135487329428e-05,17660.0,7.684135487329428e-05,17660.0,True,0,1.0,0.03024823276225554,1.2699765548575172e-05,1.7426363669819116e-07,51.676852042297334,203.49881686112923,19.611775969163137,210.87173176494176,3.288362900733504e-06,4.5226381788648445e-09,0.035990676135181005,-3.5019083153861006e-06,2.0087748993606738,7.271572063717184,0.9972647702407003,0.9981765134938001,0,3.747348397147987e-27,2369306392.9574986,78.98085280001396
9,alongtrack,0.001,ukf,17570.0,7.330263533712863e-05,17570.0,7.330263533712863e-05,17570.0,True,0,1.0,0.029561812328363708,1.2345335454791543e-05,1.6336837101725417e-07,4.318569380484803,111.35559029795006,3.0652393907585864,111.48144789435428,3.346237376291964e-08,2.3851845531373238e-11,-0.010280448218791717,-2.9460317079611357e-06,2.009606799193387,4.2317126205542,0.9976294675419402,1.0,0,3.3787867993014467e-31,2344476339.8550825,78.29127359998529
9,alongtrack,0.008,ukf,17550.0,7.341549094139596e-05,17550.0,7.341549094139596e-05,17550.0,True,0,1.0,0.02952673851204957,1.1978713910274799e-05,1.6142349152406353e-07,12.496310825267086,164.33107975828665,7.055792581034003,164.95649659141233,2.708414763868108e-07,1.9414642179860857e-10,-0.016663465841576436,-4.535281738336147e-06,2.0093129132977885,4.215454376207884,0.9976294675419402,1.0,1,2.155700869941754e-29,2344354333.0447764,78.73810249997769
