sigma_ang,seed,captured,capture_time,final_distance,ekf_err_pos_rmse,ekf_err_vel_rmse,total_dV,thrust_max,thrust_mean,thrust_std,wall_time
0.001,42,True,86990.0,0.0996606675900363,5.129963269839524,0.003763426907462612,10.270347733464503,0.0019558688024022284,0.00011804997803636203,0.0003011168350397194,6.988850416993955
0.001,43,True,86960.0,0.09939424603194265,5.13805132812644,0.0037823747491982584,10.266574833568903,0.0019551677780121745,0.0001180473171124744,0.00030115374027571147,7.350682249991223
0.001,44,True,87000.0,0.0995272104071675,5.0198053465088455,0.003704038821755622,10.269297923492104,0.0019551903418315456,0.00011802434512777024,0.00030115164757834375,7.371426708006766
0.001,45,True,87020.0,0.09946750813439068,5.067303124097082,0.0037338163030215294,10.270077684950127,0.001954761909073798,0.00011800618227262966,0.00030112527175960653,7.513553874974605
0.001,46,True,87000.0,0.09958729848064474,5.091195387982593,0.0037489108037503803,10.266719604695671,0.0019546771437982135,0.00011799471273906236,0.00030114372236386184,7.659716166002909
0.004,42,True,68230.0,0.09987509139852066,6.827288481343828,0.005075731744897424,10.108933955371695,0.0019561745521276905,0.00014813795860067606,0.0003337252069478047,6.527457832999062
0.004,43,True,68390.0,0.09994190441404545,6.772465866706368,0.005061720282262989,10.106963520373206,0.0019553374606394087,0.0001477626303267855,0.0003333291493401671,6.0871493330050725
0.004,44,True,68580.0,0.09976783952524858,6.642442113676171,0.0049427399214680605,10.11969350234845,0.001955271588180055,0.00014753891262397773,0.0003330276421029296,6.206225917005213
0.004,45,True,68520.0,0.0994839187159504,6.66440918002476,0.004999203494729091,10.114897154505218,0.0019547844685350894,0.0001475980976359161,0.0003331705936987414,6.125133834022563
0.004,46,True,68670.0,0.09994190414769978,6.733853953293264,0.005036499127537712,10.115467215782843,0.0019548583458757715,0.00014728403906366527,0.0003327975443879263,6.272824582993053
0.008,42,True,54800.0,0.09987044362363205,8.16089791112622,0.006363512269699907,10.0316861972946,0.001956027822130711,0.0001830265721715386,0.0003641633404914343,4.925859542010585
0.008,43,True,55080.0,0.09985661618901018,8.060482518504324,0.006283518619056785,10.02942149042655,0.0019551479093328824,0.00018205521481119198,0.000363323726967436,5.000872457982041
0.008,44,True,55140.0,0.09958149406664198,7.941227077831523,0.0061761090396824396,10.045914749401947,0.0019551821988464473,0.0001821562100800975,0.00036326634509099734,5.014387000002898
0.008,45,True,54860.0,0.09977949881712259,7.985216241954702,0.006241701943811342,10.031281604620643,0.0019549303279262787,0.00018281906260858794,0.0003640343106553119,5.021762582997326
0.008,46,True,54850.0,0.09986705871318646,8.037965089669866,0.006297499879091861,10.032237674479084,0.0019550655056202446,0.00018286981402364756,0.0003639723018428562,5.019312041025842
0.02,42,True,41120.0,0.09309007256713842,9.436867579581232,0.007795159454023666,10.064257259606698,0.0019553338786017418,0.0002446939515966362,0.00040244649302017193,3.7197461670148186
0.02,43,True,40940.0,0.09725778276182807,9.48914854888923,0.007833937410387246,10.053256738487583,0.0019549418758014786,0.0002455008514894071,0.0004027005984595354,3.703005540999584
0.02,44,True,40370.0,0.0982263610057856,9.487381683820272,0.007797266999502379,10.077144351936807,0.0019551689910341104,0.00024955787981785005,0.00040468306877825406,3.7174565409950446
0.02,45,True,41090.0,0.0909706182109986,9.339715876766235,0.007680105843234934,10.05332344620259,0.00195501065642177,0.0002446064729732326,0.0004025635927085419,3.6525077919941396
0.02,46,True,41100.0,0.09144570629875624,9.363512630586216,0.007734543648974327,10.068752189822959,0.0019554844542683716,0.0002449224515674813,0.0004023298604969495,3.6990501249965746
0.05,42,True,39220.0,0.09924668501374588,8.99668244676426,0.007726689379372269,10.148323611171179,0.0019555293115242228,0.00025868796413052185,0.00040799762303190667,3.47204475000035
0.05,43,True,38780.0,0.09524545454622305,9.217433001621401,0.007895108255818293,10.115695063531613,0.0019559598566051095,0.00026078115347727247,0.00040877781178423904,3.415123374987161
0.05,44,True,37530.0,0.09978670639169313,9.371290179442642,0.007886045819971146,10.160945142671668,0.001955769211262844,0.00027067169534054436,0.0004132539478458872,3.367274875025032
0.05,45,True,38890.0,0.09692210143003269,9.029189464372521,0.007719596024083542,10.125387415444871,0.001954755140483616,0.000260293047274754,0.00040901948698218645,3.431895124987932
0.05,46,True,39200.0,0.08684456490404409,9.014251258779364,0.0078121993082037365,10.167345306672392,0.0019564730256087163,0.0002593051288702848,0.0004076946688870707,3.477399499999592
0.1,42,True,37130.0,0.09834960192622635,8.63200047889755,0.0076062957378753605,10.19845020483972,0.0019568157685186916,0.00027459564135250434,0.00041464105594694086,3.3866092499811202
0.1,43,True,38470.0,0.09950727559401269,8.657905757189411,0.007580308957212647,10.131884365277985,0.0019584014636511112,0.00026330278905202216,0.0004093236147002057,3.4136759160028305
0.1,44,True,38310.0,0.07033603371225773,8.992375424327706,0.00805501117017548,10.232223247397314,0.0019567580648351423,0.00026702098637579975,0.00041087070892812175,3.435099041002104
0.1,45,True,38520.0,0.09534511139158,8.553285860823019,0.007428739344860888,10.163004224013537,0.001954149006460719,0.0002637690310613521,0.00041037556571795896,3.5367010830086656
0.1,46,True,38670.0,0.0946587285702549,8.484231022018418,0.007336323593705445,10.2213637652139,0.0019578256297580923,0.00026425478485758296,0.00040962421996737735,3.457562457973836
