sigma_ang,seed,terminal_vrel_ms
0.001,42,0.09013511544956966
0.001,43,0.08758861611531543
0.001,44,0.08792451772645302
0.001,45,0.08906202881054666
0.001,46,0.08851745166804503
0.004,42,0.07294267805252919
0.004,43,0.07947355624789165
0.004,44,0.08835252306495321
0.004,45,0.08630790538384189
0.004,46,0.09341446129602483
0.008,42,0.1709124390242083
0.008,43,0.13635922954870183
0.008,44,0.1556511728663556
0.008,45,0.16490637834357602
0.008,46,0.17451310666402534
0.02,42,1.124459854121406
0.02,43,1.1384895825844374
0.02,44,0.4122841277439201
0.02,45,1.051332500897951
0.02,46,1.4978017079770627
0.05,42,0.703401568364489
0.05,43,0.7367750610883792
0.05,44,1.3474263965973678
0.05,45,1.0518438040537421
0.05,46,1.4921208594275488
0.1,42,1.9761974302554717
0.1,43,0.7694236254415205
0.1,44,4.035066547228059
0.1,45,1.1420955477830168
0.1,46,0.8614699009866672
full_info,n/a,0.09650185797177623
scale_866 km,AO,0.1709124390242083
scale_866 km,FI,0.14126818946260097
scale_86.6 km,AO,0.7740144454240977
scale_86.6 km,FI,0.17250271404712955
scale_8.66 km,AO,0.6570045632668151
scale_8.66 km,FI,0.006342560102180712
