time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.96161067e+07
0.001094,8.66463109e+02,1.16196070e-03,5.81303059e-04,3.90078650e+05
0.002188,8.67072196e+02,1.14948994e-03,5.74702698e-04,2.69441441e+06
0.003282,8.67834965e+02,1.13677799e-03,5.68350718e-04,6.69869107e+06
0.004376,8.68734917e+02,1.12471487e-03,5.62333203e-04,7.09315246e+06
0.005470,8.69756889e+02,1.11325353e-03,5.56729537e-04,7.58703108e+06
0.006563,8.70887023e+02,1.10304862e-03,5.51620953e-04,7.68999413e+06
0.007657,8.72112725e+02,1.09308653e-03,5.47084909e-04,7.07062690e+06
0.008751,8.73422648e+02,1.08552784e-03,5.43205483e-04,6.72008624e+06
0.009845,8.74806521e+02,1.07825731e-03,5.40050557e-04,3.51019889e+06
0.010939,8.76255272e+02,1.07324958e-03,5.37705134e-04,2.76544957e+06
0.012033,8.77760789e+02,1.07027391e-03,5.36235036e-04,2.69608475e+06
0.013127,8.79315874e+02,1.06881593e-03,5.35699967e-04,2.68781761e+06
0.014221,8.80914303e+02,1.06976644e-03,5.36165441e-04,2.54928616e+06
0.015315,8.82550643e+02,1.07236986e-03,5.37674254e-04,1.92504215e+06
0.016409,8.84220196e+02,1.07801502e-03,5.40264183e-04,2.00117539e+06
0.017503,8.85918925e+02,1.08540125e-03,5.43951710e-04,1.93406031e+06
0.018596,8.87643518e+02,1.09450467e-03,5.48745842e-04,2.06700096e+06
0.019690,8.89391345e+02,1.10578029e-03,5.54639657e-04,2.01545817e+06
0.020784,8.91160355e+02,1.11970158e-03,5.61604617e-04,2.85239867e+06
0.021878,8.92948932e+02,1.13557246e-03,5.69588846e-04,4.33133021e+06
0.022972,8.94755922e+02,1.15358620e-03,5.78534104e-04,1.74849099e+06
0.024066,8.96580636e+02,1.17336134e-03,5.88363425e-04,1.94964087e+06
0.025160,8.98422833e+02,1.19460453e-03,5.98995543e-04,2.06151951e+06
0.026254,9.00282660e+02,1.21746083e-03,6.10343785e-04,3.97503674e+06
0.027348,9.02160639e+02,1.24164322e-03,6.22314379e-04,4.54443970e+06
0.028442,9.04057680e+02,1.26647408e-03,6.34814832e-04,2.69764435e+06
0.029536,9.05975099e+02,1.29219789e-03,6.47757793e-04,2.28317013e+06
0.030630,9.07914537e+02,1.31854790e-03,6.61054859e-04,1.51672113e+06
0.031723,9.09877926e+02,1.34570553e-03,6.74625348e-04,3.62170771e+06
0.032817,9.11867402e+02,1.37348577e-03,6.88388979e-04,4.83350865e+06
0.033911,9.13885341e+02,1.40139603e-03,7.02270414e-04,6.22921744e+06
0.035005,9.15934325e+02,1.42936946e-03,7.16203604e-04,5.61148326e+06
0.036099,9.18017128e+02,1.45751272e-03,7.30125210e-04,2.70589693e+06
0.037193,9.20136669e+02,1.48522378e-03,7.43978038e-04,2.57393449e+06
0.038287,9.22295990e+02,1.51295505e-03,7.57711175e-04,1.09468497e+06
0.039381,9.24498212e+02,1.54018843e-03,7.71275527e-04,2.22815329e+06
0.040475,9.26746528e+02,1.56722140e-03,7.84629646e-04,1.84581736e+06
0.041569,9.29044127e+02,1.59352983e-03,7.97726396e-04,3.34483838e+06
0.042663,9.31394229e+02,1.61955101e-03,8.10535453e-04,1.84400747e+06
0.043756,9.33799887e+02,1.64499444e-03,8.23013100e-04,3.06534544e+06
0.044850,9.36264067e+02,1.66934384e-03,8.35128533e-04,3.24601725e+06
0.045944,9.38789776e+02,1.69354780e-03,8.46858855e-04,2.27658415e+06
0.047038,9.41379813e+02,1.71623542e-03,8.58164002e-04,3.54962061e+06
0.048132,9.44037011e+02,1.73822329e-03,8.69034861e-04,3.73036742e+06
0.049226,9.46763775e+02,1.76076312e-03,8.79437457e-04,3.68125209e+06
0.050320,9.49562173e+02,1.78109435e-03,8.89336618e-04,4.04622269e+06
0.051414,9.52434205e+02,1.80121694e-03,8.98726872e-04,4.30139008e+06
0.052508,9.55381531e+02,1.81913030e-03,9.07578912e-04,4.99686709e+06
0.053602,9.58405690e+02,1.83796566e-03,9.15893477e-04,5.52776256e+06
0.054696,9.61507834e+02,1.85319316e-03,9.23638463e-04,6.37764216e+06
0.055789,9.64689560e+02,1.86808237e-03,9.30854350e-04,7.22427135e+06
0.056883,9.67951968e+02,1.88187556e-03,9.37507461e-04,8.18615510e+06
0.057977,9.71295421e+02,1.89534122e-03,9.43564023e-04,9.26048724e+06
0.059071,9.74719861e+02,1.90865559e-03,9.49018074e-04,9.85431375e+06
0.060165,9.78225252e+02,1.91738366e-03,9.53876770e-04,1.06295141e+07
0.061259,9.81811560e+02,1.92880153e-03,9.58163083e-04,1.15709495e+07
0.062353,9.85477966e+02,1.93727904e-03,9.61838620e-04,1.37059794e+07
0.063447,9.89223070e+02,1.94718538e-03,9.64884617e-04,1.48602058e+07
0.064541,9.93045230e+02,1.95315610e-03,9.67306709e-04,1.50903616e+07
0.065635,9.96943334e+02,1.95780256e-03,9.69152344e-04,1.81684797e+07
0.066729,1.00091529e+03,1.96178114e-03,9.70373667e-04,1.62497208e+07
0.067822,1.00495990e+03,1.96077095e-03,9.71062529e-04,1.60255168e+07
0.068916,1.00907621e+03,1.96120059e-03,9.71232051e-04,1.76144813e+07
0.070010,1.01326187e+03,1.96372625e-03,9.70834497e-04,2.04048452e+07
0.071104,1.01751345e+03,1.96582630e-03,9.69832834e-04,2.15146899e+07
0.072198,1.02182772e+03,1.96398224e-03,9.68258818e-04,2.11496117e+07
0.073292,1.02620236e+03,1.95620873e-03,9.66171169e-04,2.10691689e+07
0.074386,1.03063538e+03,1.95105650e-03,9.63620985e-04,1.99161026e+07
0.075480,1.03512429e+03,1.94508630e-03,9.60602161e-04,2.08233727e+07
0.076574,1.03966603e+03,1.93926069e-03,9.57097131e-04,2.02998981e+07
0.077668,1.04425748e+03,1.92921532e-03,9.53128478e-04,2.01558404e+07
0.078762,1.04889551e+03,1.92348263e-03,9.48730432e-04,2.07645760e+07
0.079855,1.05357622e+03,1.91474082e-03,9.43865149e-04,2.26117836e+07
0.080949,1.05829556e+03,1.90677010e-03,9.38549141e-04,2.29605168e+07
0.082043,1.06304966e+03,1.89314875e-03,9.32803565e-04,2.34145184e+07
0.083137,1.06783501e+03,1.88294497e-03,9.26682910e-04,2.10289581e+07
0.084231,1.07264816e+03,1.86858844e-03,9.20202251e-04,2.18782416e+07
0.085325,1.07748555e+03,1.85640014e-03,9.13365429e-04,2.15548628e+07
0.086419,1.08234331e+03,1.84115838e-03,9.06178816e-04,2.26186062e+07
0.087513,1.08721746e+03,1.82691226e-03,8.98656277e-04,1.98844013e+07
0.088607,1.09210470e+03,1.80681622e-03,8.90849408e-04,2.00237183e+07
0.089701,1.09700165e+03,1.79484047e-03,8.82779711e-04,2.08296555e+07
0.090795,1.10190371e+03,1.77818132e-03,8.74380625e-04,2.14733364e+07
0.091889,1.10680674e+03,1.76246923e-03,8.65703856e-04,2.17811771e+07
0.092982,1.11170658e+03,1.74262355e-03,8.56754249e-04,2.00551278e+07
0.094076,1.11659998e+03,1.72043572e-03,8.47600181e-04,1.66253460e+07
0.095170,1.12148409e+03,1.70390518e-03,8.38289833e-04,1.96112815e+07
0.096264,1.12635447e+03,1.68366384e-03,8.28712502e-04,1.68946914e+07
0.097358,1.13120770e+03,1.66339104e-03,8.18974547e-04,1.64361090e+07
0.098452,1.13604027e+03,1.64425010e-03,8.09059343e-04,1.69341980e+07
0.099546,1.14084828e+03,1.62291263e-03,7.98957861e-04,1.52777603e+07
0.100640,1.14562839e+03,1.60120065e-03,7.88719330e-04,1.63432719e+07
0.101734,1.15037691e+03,1.57943213e-03,7.78324740e-04,1.44435587e+07
0.102828,1.15509039e+03,1.56142653e-03,7.67818891e-04,1.44506195e+07
0.103922,1.15976513e+03,1.53560215e-03,7.57160142e-04,1.20083187e+07
0.105015,1.16439854e+03,1.51172292e-03,7.46443948e-04,1.02779176e+07
