time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.002188,8.67073894e+02,1.14944839e-03,5.74724193e-04
0.004376,8.68738568e+02,1.12471291e-03,5.62356456e-04
0.006563,8.70892775e+02,1.10328439e-03,5.51642195e-04
0.008751,8.73430392e+02,1.08642317e-03,5.43211587e-04
0.010939,8.76264353e+02,1.07536876e-03,5.37684378e-04
0.013127,8.79324892e+02,1.07128317e-03,5.35641586e-04
0.015315,8.82557605e+02,1.07515085e-03,5.37575424e-04
0.017503,8.85921488e+02,1.08764085e-03,5.43820424e-04
0.019690,8.89387066e+02,1.10896633e-03,5.54483164e-04
0.021878,8.92934757e+02,1.13880005e-03,5.69400023e-04
0.024066,8.96553524e+02,1.17629628e-03,5.88148138e-04
0.026254,9.00239840e+02,1.22022141e-03,6.10110706e-04
0.028442,9.03996854e+02,1.26914159e-03,6.34570794e-04
0.030630,9.07833662e+02,1.32159892e-03,6.60799460e-04
0.032817,9.11764566e+02,1.37623280e-03,6.88116398e-04
0.035005,9.15808254e+02,1.43183917e-03,7.15919587e-04
0.037193,9.19986895e+02,1.48738362e-03,7.43691811e-04
0.039381,9.24325146e+02,1.54198882e-03,7.70994411e-04
0.041569,9.28849121e+02,1.59491264e-03,7.97456322e-04
0.043756,9.33585363e+02,1.64552612e-03,8.22763059e-04
0.045944,9.38559854e+02,1.69329534e-03,8.46647672e-04
0.048132,9.43797100e+02,1.73776830e-03,8.68884152e-04
0.050320,9.49319317e+02,1.77856592e-03,8.89282959e-04
0.052508,9.55145750e+02,1.81537624e-03,9.07688118e-04
0.054696,9.61292110e+02,1.84795058e-03,9.23975289e-04
0.056883,9.67770163e+02,1.87610070e-03,9.38050349e-04
0.059071,9.74587449e+02,1.89969623e-03,9.49848114e-04
0.061259,9.81747141e+02,1.91866195e-03,9.59330977e-04
0.063447,9.89248018e+02,1.93297468e-03,9.66487341e-04
0.065635,9.97084552e+02,1.94265954e-03,9.71329772e-04
0.067822,1.00524709e+03,1.94778578e-03,9.73892892e-04
0.070010,1.01372209e+03,1.94846208e-03,9.74231041e-04
0.072198,1.02249247e+03,1.94483153e-03,9.72415765e-04
0.074386,1.03153793e+03,1.93706645e-03,9.68533223e-04
0.076574,1.04083536e+03,1.92536311e-03,9.62681554e-04
0.078762,1.05035921e+03,1.90993663e-03,9.54968314e-04
0.080949,1.06008192e+03,1.89101603e-03,9.45508015e-04
0.083137,1.06997428e+03,1.86883967e-03,9.34419837e-04
0.085325,1.08000581e+03,1.84365109e-03,9.21825543e-04
0.087513,1.09014513e+03,1.81569525e-03,9.07847627e-04
0.089701,1.10036021e+03,1.78521541e-03,8.92607705e-04
0.091889,1.11061875e+03,1.75245033e-03,8.76225165e-04
0.094076,1.12088836e+03,1.71763210e-03,8.58816051e-04
0.096264,1.13113683e+03,1.68098437e-03,8.40492186e-04
0.098452,1.14133230e+03,1.64272101e-03,8.21360505e-04
0.100640,1.15144345e+03,1.60304518e-03,8.01522592e-04
0.102828,1.16143958e+03,1.56214875e-03,7.81074373e-04
0.105015,1.17129080e+03,1.52021194e-03,7.60105972e-04
0.107203,1.18096807e+03,1.47740336e-03,7.38701680e-04
0.109391,1.19044326e+03,1.43388007e-03,7.16940035e-04
0.111579,1.19968923e+03,1.38978797e-03,6.94893983e-04
0.113767,1.20867985e+03,1.34526220e-03,6.72631100e-04
0.115955,1.21739005e+03,1.30042773e-03,6.50213866e-04
0.118142,1.22579577e+03,1.25539995e-03,6.27699975e-04
0.120330,1.23387403e+03,1.21028531e-03,6.05142657e-04
0.122518,1.24160288e+03,1.16518205e-03,5.82591026e-04
0.124706,1.24896141e+03,1.12018083e-03,5.60090417e-04
0.126894,1.25592974e+03,1.07536546e-03,5.37682728e-04
0.129081,1.26248896e+03,1.03081350e-03,5.15406749e-04
0.131269,1.26862119e+03,9.86596952e-04,4.93298476e-04
0.133457,1.27430947e+03,9.42782814e-04,4.71391407e-04
0.135645,1.27953778e+03,8.99433639e-04,4.49716820e-04
0.137833,1.28429103e+03,8.56608048e-04,4.28304024e-04
0.140021,1.28855502e+03,8.14361188e-04,4.07180594e-04
0.142208,1.29231641e+03,7.72745150e-04,3.86372575e-04
0.144396,1.29556272e+03,7.31809332e-04,3.65904666e-04
0.146584,1.29828231e+03,6.91600770e-04,3.45800385e-04
0.148772,1.30046437e+03,6.52164423e-04,3.26082212e-04
0.150960,1.30209891e+03,6.13543426e-04,3.06771713e-04
0.153148,1.30317672e+03,5.75779332e-04,2.87889666e-04
0.155335,1.30368943e+03,5.38912350e-04,2.69456175e-04
0.157523,1.30362948e+03,5.02981606e-04,2.51490803e-04
0.159711,1.30299010e+03,4.68025483e-04,2.34012741e-04
0.161899,1.30176538e+03,4.34082077e-04,2.17041038e-04
0.164087,1.29995025e+03,4.01189880e-04,2.00594940e-04
0.166274,1.29754051e+03,3.69388818e-04,1.84694409e-04
0.168462,1.29453287e+03,3.38721833e-04,1.69360917e-04
0.170650,1.29092497e+03,3.09237340e-04,1.54618670e-04
0.172838,1.28671544e+03,2.80992969e-04,1.40496484e-04
0.175026,1.28190393e+03,2.54061288e-04,1.27030644e-04
0.177214,1.27649120e+03,2.28538459e-04,1.14269230e-04
0.179401,1.27047911e+03,2.04557140e-04,1.02278570e-04
0.181589,1.26387075e+03,1.82305230e-04,9.11526148e-05
0.183777,1.25667047e+03,1.62051545e-04,8.10257727e-05
0.185965,1.24888394e+03,1.44176552e-04,7.20882761e-05
0.188153,1.24051825e+03,1.29196823e-04,6.45984113e-05
0.190340,1.23158195e+03,1.17751421e-04,5.88757106e-05
