time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001094,8.66463371e+02,1.16199020e-03,5.81260356e-04
0.002188,8.67072805e+02,1.14951775e-03,5.74717045e-04
0.003282,8.67835906e+02,1.13680410e-03,5.68246250e-04
0.004376,8.68736141e+02,1.12473629e-03,5.62142779e-04
0.005470,8.69758325e+02,1.11326931e-03,5.56523227e-04
0.006563,8.70888593e+02,1.10305849e-03,5.51354664e-04
0.007657,8.72114351e+02,1.09309004e-03,5.46936276e-04
0.008751,8.73424265e+02,1.08552682e-03,5.43036584e-04
0.009845,8.74808069e+02,1.07825169e-03,5.39889599e-04
0.010939,8.76256709e+02,1.07324092e-03,5.37683022e-04
0.012033,8.77762103e+02,1.07026434e-03,5.36199745e-04
0.013127,8.79317051e+02,1.06880513e-03,5.35669404e-04
0.014221,8.80915332e+02,1.06975468e-03,5.36104127e-04
0.015315,8.82551510e+02,1.07235676e-03,5.37658170e-04
0.016409,8.84220900e+02,1.07800166e-03,5.40244979e-04
0.017503,8.85919463e+02,1.08538707e-03,5.43898025e-04
0.018596,8.87643880e+02,1.09448925e-03,5.48719749e-04
0.019690,8.89391524e+02,1.10576373e-03,5.54553598e-04
0.020784,8.91160338e+02,1.11968345e-03,5.61573628e-04
0.021878,8.92948708e+02,1.13555248e-03,5.69569520e-04
0.022972,8.94755504e+02,1.15356680e-03,5.78536876e-04
0.024066,8.96580034e+02,1.17334134e-03,5.88383346e-04
0.025160,8.98422050e+02,1.19458346e-03,5.99084760e-04
0.026254,9.00281716e+02,1.21744035e-03,6.10466598e-04
0.027348,9.02159569e+02,1.24162459e-03,6.22436320e-04
0.028442,9.04056526e+02,1.26645749e-03,6.34946688e-04
0.029536,9.05973893e+02,1.29218263e-03,6.47843199e-04
0.030630,9.07913294e+02,1.31853298e-03,6.61069171e-04
0.031723,9.09876654e+02,1.34568998e-03,6.74726831e-04
0.032817,9.11866128e+02,1.37347178e-03,6.88461514e-04
0.033911,9.13884099e+02,1.40138386e-03,7.02418196e-04
0.035005,9.15933168e+02,1.42936084e-03,7.16379807e-04
0.036099,9.18016104e+02,1.45750740e-03,7.30254482e-04
0.037193,9.20135805e+02,1.48522012e-03,7.44044379e-04
0.038287,9.22295295e+02,1.51295191e-03,7.57731383e-04
0.039381,9.24497688e+02,1.54018485e-03,7.71314407e-04
0.040475,9.26746184e+02,1.56721848e-03,7.84656095e-04
0.041569,9.29043969e+02,1.59352697e-03,7.97800728e-04
0.042663,9.31394279e+02,1.61955018e-03,8.10607827e-04
0.043756,9.33800163e+02,1.64499514e-03,8.23056644e-04
0.044850,9.36264584e+02,1.66934541e-03,8.35212733e-04
0.045944,9.38790562e+02,1.69355179e-03,8.46936173e-04
0.047038,9.41380896e+02,1.71624140e-03,8.58299721e-04
0.048132,9.44038432e+02,1.73823367e-03,8.69211665e-04
0.049226,9.46765587e+02,1.76077844e-03,8.79591569e-04
0.050320,9.49564425e+02,1.78111453e-03,8.89519829e-04
0.051414,9.52436951e+02,1.80124271e-03,8.98915894e-04
0.052508,9.55384828e+02,1.81916204e-03,9.07807699e-04
0.053602,9.58409605e+02,1.83800436e-03,9.16124491e-04
0.054696,9.61512436e+02,1.85323971e-03,9.23914234e-04
0.055789,9.64694938e+02,1.86813867e-03,9.31176877e-04
0.056883,9.67958222e+02,1.88194314e-03,9.37883504e-04
0.057977,9.71302668e+02,1.89542153e-03,9.43991234e-04
0.059071,9.74728227e+02,1.90875029e-03,9.49494695e-04
0.060165,9.78234878e+02,1.91749491e-03,9.54392115e-04
0.061259,9.81822596e+02,1.92893016e-03,9.58737022e-04
0.062353,9.85490576e+02,1.93742675e-03,9.62466840e-04
0.063447,9.89237438e+02,1.94735398e-03,9.65599484e-04
0.064541,9.93061556e+02,1.95334843e-03,9.68076906e-04
0.065635,9.96961825e+02,1.95802009e-03,9.69975302e-04
0.066729,1.00093616e+03,1.96202696e-03,9.71248554e-04
0.067822,1.00498338e+03,1.96104513e-03,9.71935944e-04
0.068916,1.00910251e+03,1.96150247e-03,9.72143122e-04
0.070010,1.01329121e+03,1.96405714e-03,9.71834559e-04
0.071104,1.01754606e+03,1.96618864e-03,9.70943708e-04
0.072198,1.02186386e+03,1.96437965e-03,9.69422465e-04
0.073292,1.02624229e+03,1.95664262e-03,9.67289505e-04
0.074386,1.03067933e+03,1.95152531e-03,9.64761436e-04
0.075480,1.03517249e+03,1.94558876e-03,9.61770237e-04
0.076574,1.03971870e+03,1.93979764e-03,9.58312915e-04
0.077668,1.04431483e+03,1.92978888e-03,9.54304410e-04
0.078762,1.04895774e+03,1.92408924e-03,9.49990361e-04
0.079855,1.05364353e+03,1.91538235e-03,9.45162123e-04
0.080949,1.05836818e+03,1.90744697e-03,9.39928854e-04
