time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001094,8.66463636e+02,1.16213488e-03,5.81332775e-04
0.002188,8.67073416e+02,1.14954512e-03,5.74730752e-04
0.003282,8.67836853e+02,1.13706595e-03,5.68377115e-04
0.004376,8.68737372e+02,1.12516091e-03,5.62354972e-04
0.005470,8.69759770e+02,1.11371445e-03,5.56745636e-04
0.006563,8.70890176e+02,1.10361200e-03,5.51631242e-04
0.007657,8.72115990e+02,1.09339544e-03,5.47088824e-04
0.008751,8.73425899e+02,1.08586379e-03,5.43204953e-04
0.009845,8.74809636e+02,1.07856373e-03,5.40045516e-04
0.010939,8.76258169e+02,1.07326965e-03,5.37697092e-04
0.012033,8.77763442e+02,1.07031766e-03,5.36226117e-04
0.013127,8.79318256e+02,1.06884675e-03,5.35689869e-04
0.014221,8.80916391e+02,1.06985586e-03,5.36154409e-04
0.015315,8.82552410e+02,1.07236517e-03,5.37661928e-04
0.016409,8.84221641e+02,1.07801572e-03,5.40251595e-04
0.017503,8.85920040e+02,1.08546852e-03,5.43938383e-04
0.018596,8.87644285e+02,1.09451346e-03,5.48731389e-04
0.019690,8.89391748e+02,1.10590565e-03,5.54624220e-04
0.020784,8.91160370e+02,1.11971255e-03,5.61587698e-04
0.021878,8.92948536e+02,1.13555488e-03,5.69570216e-04
0.022972,8.94755141e+02,1.15352648e-03,5.78516180e-04
0.024066,8.96579490e+02,1.17326585e-03,5.88345046e-04
0.025160,8.98421328e+02,1.19436781e-03,5.98976234e-04
0.026254,9.00280836e+02,1.21715906e-03,6.10325221e-04
0.027348,9.02158568e+02,1.24134904e-03,6.22297888e-04
0.028442,9.04055444e+02,1.26616672e-03,6.34800633e-04
0.029536,9.05972763e+02,1.29198777e-03,6.47745226e-04
0.030630,9.07912132e+02,1.31848129e-03,6.61042969e-04
0.031723,9.09875467e+02,1.34546337e-03,6.74613017e-04
0.032817,9.11864945e+02,1.37330669e-03,6.88378599e-04
0.033911,9.13882955e+02,1.40107262e-03,7.02262127e-04
0.035005,9.15932115e+02,1.42900044e-03,7.16199183e-04
0.036099,9.18015192e+02,1.45724802e-03,7.30124572e-04
0.037193,9.20135060e+02,1.48509026e-03,7.43979364e-04
0.038287,9.22294729e+02,1.51291593e-03,7.57713456e-04
0.039381,9.24497303e+02,1.54011116e-03,7.71277671e-04
0.040475,9.26745989e+02,1.56717148e-03,7.84632819e-04
0.041569,9.29043973e+02,1.59338491e-03,7.97729952e-04
0.042663,9.31394504e+02,1.61941649e-03,8.10541343e-04
0.043756,9.33800628e+02,1.64492219e-03,8.23020721e-04
0.044850,9.36265306e+02,1.66919311e-03,8.35137233e-04
0.045944,9.38791570e+02,1.69341842e-03,8.46870305e-04
0.047038,9.41382217e+02,1.71599602e-03,8.58177831e-04
0.048132,9.44040112e+02,1.73791454e-03,8.69053088e-04
0.049226,9.46767677e+02,1.76051505e-03,8.79461050e-04
0.050320,9.49566976e+02,1.78080256e-03,8.89365178e-04
0.051414,9.52440019e+02,1.80093026e-03,8.98761226e-04
0.052508,9.55388472e+02,1.81878170e-03,9.07619228e-04
0.053602,9.58413890e+02,1.83763313e-03,9.15940939e-04
0.054696,9.61517435e+02,1.85279393e-03,9.23693536e-04
0.055789,9.64700737e+02,1.86761788e-03,9.30918940e-04
0.056883,9.67964926e+02,1.88133686e-03,9.37583089e-04
0.057977,9.71310392e+02,1.89473736e-03,9.43652287e-04
0.059071,9.74737101e+02,1.90799433e-03,9.49120574e-04
0.060165,9.78245042e+02,1.91669302e-03,9.53994901e-04
0.061259,9.81834201e+02,1.92804276e-03,9.58298069e-04
0.062353,9.85503789e+02,1.93646641e-03,9.61991981e-04
0.063447,9.89252444e+02,1.94625858e-03,9.65058796e-04
0.064541,9.93078557e+02,1.95218707e-03,9.67503885e-04
0.065635,9.96981030e+02,1.95680022e-03,9.69373578e-04
0.066729,1.00095780e+03,1.96075528e-03,9.70621590e-04
0.067822,1.00500767e+03,1.95983147e-03,9.71336667e-04
0.068916,1.00912965e+03,1.96026505e-03,9.71531999e-04
0.070010,1.01332143e+03,1.96269265e-03,9.71161707e-04
0.071104,1.01757961e+03,1.96465759e-03,9.70190411e-04
0.072198,1.02190100e+03,1.96280704e-03,9.68649139e-04
0.073292,1.02628327e+03,1.95523235e-03,9.66594465e-04
0.074386,1.03072439e+03,1.95013482e-03,9.64075833e-04
