time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001094,8.66462628e+02,1.20015823e-03,6.00348522e-04
0.002188,8.67065975e+02,1.18953917e-03,5.94720701e-04
0.003282,8.67816555e+02,1.17831107e-03,5.88989071e-04
0.004376,8.68697505e+02,1.16771130e-03,5.83616006e-04
0.005470,8.69693319e+02,1.15772605e-03,5.78742404e-04
0.006563,8.70789808e+02,1.14906816e-03,5.74344664e-04
0.007657,8.71974050e+02,1.14061240e-03,5.70709272e-04
0.008751,8.73234384e+02,1.13466587e-03,5.67604963e-04
0.009845,8.74560211e+02,1.12886568e-03,5.65228333e-04
0.010939,8.75942157e+02,1.12530303e-03,5.63753518e-04
0.012033,8.77371833e+02,1.12367348e-03,5.62941568e-04
0.013127,8.78841750e+02,1.12332292e-03,5.62979994e-04
0.014221,8.80345433e+02,1.12520592e-03,5.63876566e-04
0.015315,8.81877227e+02,1.12841101e-03,5.65749418e-04
0.016409,8.83432273e+02,1.13444922e-03,5.68503720e-04
0.017503,8.85006403e+02,1.14183328e-03,5.72150506e-04
0.018596,8.86596232e+02,1.15051444e-03,5.76786897e-04
0.019690,8.88199124e+02,1.16103256e-03,5.82269158e-04
0.020784,8.89813079e+02,1.17389943e-03,5.88759970e-04
0.021878,8.91436579e+02,1.18835549e-03,5.96052156e-04
0.022972,8.93068652e+02,1.20467254e-03,6.04159922e-04
0.024066,8.94708807e+02,1.22245468e-03,6.12998017e-04
0.025160,8.96357042e+02,1.24141861e-03,6.22562296e-04
0.026254,8.98013804e+02,1.26183566e-03,6.32709965e-04
0.027348,8.99679941e+02,1.28343412e-03,6.43363713e-04
0.028442,9.01356698e+02,1.30546605e-03,6.54491501e-04
0.029536,9.03045739e+02,1.32831500e-03,6.65966026e-04
0.030630,9.04749046e+02,1.35170823e-03,6.77740251e-04
0.031723,9.06468912e+02,1.37592239e-03,6.89924879e-04
0.032817,9.08207847e+02,1.40080411e-03,7.02186331e-04
