time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001094,8.66462485e+02,1.16572659e-03,5.81216667e-04
0.002188,8.67069781e+02,1.15309917e-03,5.74625299e-04
0.003282,8.67829605e+02,1.14025537e-03,5.68108898e-04
0.004376,8.68725425e+02,1.12806734e-03,5.61961915e-04
0.005470,8.69742061e+02,1.11648649e-03,5.56300730e-04
0.006563,8.70865651e+02,1.10616997e-03,5.51092178e-04
0.007657,8.72083602e+02,1.09609927e-03,5.46635214e-04
0.008751,8.73384586e+02,1.08844542e-03,5.42698112e-04
0.009845,8.74758336e+02,1.08108399e-03,5.39514651e-04
0.010939,8.76195801e+02,1.07599707e-03,5.37272161e-04
0.012033,8.77688896e+02,1.07295487e-03,5.35753340e-04
0.013127,8.79230421e+02,1.07143802e-03,5.35187447e-04
0.014221,8.80814148e+02,1.07234013e-03,5.35586293e-04
0.015315,8.82434637e+02,1.07490115e-03,5.37103727e-04
0.016409,8.84087193e+02,1.08051663e-03,5.39652863e-04
0.017503,8.85767764e+02,1.08787899e-03,5.43266797e-04
0.018596,8.87473021e+02,1.09696194e-03,5.48047532e-04
0.019690,8.89200320e+02,1.10822391e-03,5.53838248e-04
0.020784,8.90947590e+02,1.12213590e-03,5.60812495e-04
0.021878,8.92713196e+02,1.13800168e-03,5.68759706e-04
0.022972,8.94495989e+02,1.15601701e-03,5.77675142e-04
0.024066,8.96295257e+02,1.17579473e-03,5.87466162e-04
0.025160,8.98110727e+02,1.19703870e-03,5.98108290e-04
0.026254,8.99942542e+02,1.21989997e-03,6.09426928e-04
0.027348,9.01791215e+02,1.24409021e-03,6.21329377e-04
0.028442,9.03657638e+02,1.26892434e-03,6.33768172e-04
0.029536,9.05543093e+02,1.29465056e-03,6.46588866e-04
0.030630,9.07449182e+02,1.32099953e-03,6.59734664e-04
0.031723,9.09377805e+02,1.34814671e-03,6.73307531e-04
0.032817,9.11331096e+02,1.37592439e-03,6.86953271e-04
