time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.000547,8.66220298e+02,1.21316738e-03,5.86953664e-04
0.001094,8.66457111e+02,1.20206168e-03,5.81001457e-04
0.001641,8.66733593e+02,1.19615612e-03,5.77460007e-04
0.002188,8.67047362e+02,1.19056951e-03,5.73934194e-04
0.002735,8.67396127e+02,1.18461533e-03,5.70383560e-04
0.003282,8.67777696e+02,1.17889884e-03,5.66931953e-04
0.003829,8.68189960e+02,1.17330368e-03,5.63531734e-04
0.004376,8.68630894e+02,1.16793309e-03,5.60287835e-04
0.004923,8.69098554e+02,1.16268822e-03,5.57151051e-04
0.005470,8.69591081e+02,1.15758713e-03,5.54116780e-04
0.006017,8.70106695e+02,1.15283187e-03,5.51212000e-04
0.006563,8.70643689e+02,1.14856115e-03,5.48383862e-04
0.007110,8.71200438e+02,1.14398865e-03,5.45801680e-04
0.007657,8.71775413e+02,1.13968895e-03,5.43385846e-04
0.008204,8.72367143e+02,1.13624835e-03,5.41017884e-04
0.008751,8.72974212e+02,1.13332428e-03,5.38889464e-04
0.009298,8.73595280e+02,1.13029272e-03,5.36887749e-04
0.009845,8.74229104e+02,1.12707623e-03,5.35126224e-04
0.010392,8.74874501e+02,1.12511915e-03,5.33606022e-04
0.010939,8.75530342e+02,1.12307434e-03,5.32280404e-04
0.011486,8.76195566e+02,1.12175965e-03,5.31072349e-04
0.012033,8.76869163e+02,1.12102697e-03,5.30133889e-04
0.012580,8.77550173e+02,1.12086384e-03,5.29377154e-04
0.013127,8.78237714e+02,1.12028977e-03,5.28912230e-04
0.013674,8.78930972e+02,1.12067780e-03,5.28644935e-04
0.014221,8.79629167e+02,1.12181756e-03,5.28625547e-04
0.014768,8.80331573e+02,1.12295747e-03,5.28893083e-04
0.015315,8.81037531e+02,1.12468432e-03,5.29424078e-04
0.015862,8.81746415e+02,1.12731221e-03,5.30211768e-04
0.016409,8.82457635e+02,1.13044554e-03,5.31218973e-04
0.016956,8.83170663e+02,1.13359434e-03,5.32508550e-04
0.017503,8.83885020e+02,1.13756507e-03,5.34041046e-04
