time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001641,8.66733591e+02,2.83139910e-01,-1.24157099e-01,-1.91407736e-01,1.54448318e-02,-3.87920406e-03,-5.01222271e-03,8.27974648e+00,1.19556509e-03
0.003282,8.67778016e+02,6.62543691e-01,-1.99186612e-01,-2.62458445e-01,1.52205942e-02,-4.34793545e-03,-5.04474765e-03,8.28616473e+00,1.17839381e-03
0.004923,8.69099599e+02,7.87440842e-01,-5.04699280e-01,-6.30440866e-01,1.50160394e-02,-5.01259691e-03,-5.29852615e-03,8.30389543e+00,1.16213401e-03
0.006563,8.70646111e+02,9.67995117e-01,-1.04767671e+00,-1.06693359e+00,1.56578945e-02,-6.34821048e-03,-5.42630752e-03,8.30460271e+00,1.14697641e-03
0.008204,8.72371803e+02,1.08290292e+00,-1.52045846e+00,-1.49895017e+00,1.57540607e-02,-7.46334220e-03,-5.68557249e-03,8.28458086e+00,1.13506482e-03
0.009845,8.74236831e+02,1.50517336e+00,-1.63155971e+00,-1.57526406e+00,1.57739289e-02,-8.22083806e-03,-5.72673492e-03,8.25378320e+00,1.12694727e-03
0.011486,8.76206629e+02,1.73886582e+00,-1.94949905e+00,-1.84351025e+00,1.55548676e-02,-9.17917455e-03,-5.88239258e-03,8.22088478e+00,1.12159019e-03
0.013127,8.78252284e+02,2.18868597e+00,-2.02829782e+00,-1.83939770e+00,1.53042408e-02,-9.87816358e-03,-5.71534024e-03,8.18604977e+00,1.12049198e-03
0.014768,8.80349373e+02,2.18398825e+00,-2.43782059e+00,-2.18513461e+00,1.40402365e-02,-1.05003096e-02,-5.75362024e-03,8.15227443e+00,1.12411261e-03
0.016409,8.82478427e+02,2.30487209e+00,-2.86788419e+00,-2.49511023e+00,1.34398834e-02,-1.14834390e-02,-5.86826809e-03,8.11789591e+00,1.12959508e-03
0.018050,8.84624647e+02,2.48202857e+00,-3.32906047e+00,-2.73406483e+00,1.30168482e-02,-1.27141274e-02,-5.63599594e-03,8.08260282e+00,1.14027739e-03
0.019690,8.86776504e+02,2.48323761e+00,-3.81981282e+00,-2.88588801e+00,1.17175884e-02,-1.35886131e-02,-4.56873056e-03,8.04553382e+00,1.15613484e-03
0.021331,8.88925970e+02,2.63079196e+00,-4.05330487e+00,-3.00205662e+00,1.03730080e-02,-1.36766867e-02,-4.64016205e-03,8.00579809e+00,1.17459684e-03
0.022972,8.91068563e+02,2.53491980e+00,-4.59002163e+00,-3.36685696e+00,9.11088078e-03,-1.43433875e-02,-4.81704304e-03,7.96937123e+00,1.19742753e-03
0.024613,8.93202604e+02,2.65849845e+00,-4.74694918e+00,-3.39466166e+00,7.57549865e-03,-1.40576421e-02,-4.50885017e-03,7.93139517e+00,1.22347693e-03
0.026254,8.95328995e+02,2.31475089e+00,-5.29404126e+00,-3.74935055e+00,5.65912116e-03,-1.41544703e-02,-4.29347233e-03,7.88917373e+00,1.25107044e-03
0.027895,8.97451377e+02,2.26504511e+00,-5.64692900e+00,-3.90677885e+00,4.37528575e-03,-1.43057765e-02,-4.11996236e-03,7.84469582e+00,1.28261716e-03
0.029536,8.99574907e+02,2.85382308e+00,-5.65254363e+00,-3.56663851e+00,4.33415967e-03,-1.47713012e-02,-3.31817856e-03,7.79595094e+00,1.31520759e-03
0.031176,9.01705783e+02,2.88439490e+00,-5.95138884e+00,-3.67043673e+00,3.24544399e-03,-1.48310450e-02,-3.42935045e-03,7.74183857e+00,1.35131077e-03
0.032817,9.03851291e+02,3.52081331e+00,-5.76815418e+00,-3.37179344e+00,2.84627540e-03,-1.42835161e-02,-3.44092581e-03,7.68734553e+00,1.38906314e-03
0.034458,9.06019568e+02,3.59611191e+00,-6.04267729e+00,-3.31274665e+00,1.94037421e-03,-1.44673713e-02,-2.65302200e-03,7.62778925e+00,1.42508790e-03
0.036099,9.08220491e+02,3.77957772e+00,-6.16181071e+00,-3.25152743e+00,1.06537987e-03,-1.40583105e-02,-2.61483557e-03,7.56137741e+00,1.46126751e-03
0.037740,9.10464808e+02,4.05114213e+00,-6.29789885e+00,-3.16524694e+00,5.15467379e-04,-1.39662185e-02,-2.53211036e-03,7.49162428e+00,1.49819719e-03
0.039381,9.12763366e+02,4.18443057e+00,-6.49949421e+00,-3.14222373e+00,-2.01648984e-04,-1.38115788e-02,-2.44848796e-03,7.41606141e+00,1.53373635e-03
0.041022,9.15127394e+02,3.59861958e+00,-6.90624924e+00,-3.36005871e+00,-2.16294002e-03,-1.29885233e-02,-1.80888418e-03,7.33555181e+00,1.56830273e-03
0.042663,9.17569162e+02,3.42880108e+00,-7.22557292e+00,-3.34774174e+00,-3.12833814e-03,-1.28658303e-02,-1.11978334e-03,7.24822331e+00,1.59894657e-03
0.044303,9.20100966e+02,3.05400610e+00,-7.52383081e+00,-3.47868283e+00,-4.44912225e-03,-1.21989342e-02,-9.72891272e-04,7.15665477e+00,1.63043351e-03
0.045944,9.22734591e+02,3.06403366e+00,-7.65944141e+00,-3.52708901e+00,-5.13067367e-03,-1.14641834e-02,-1.49690468e-03,7.06013064e+00,1.65853408e-03
0.047585,9.25481035e+02,3.79934352e+00,-7.62565471e+00,-3.14034730e+00,-4.73883839e-03,-1.14183063e-02,-1.10571123e-03,6.96129319e+00,1.68960407e-03
0.049226,9.28348184e+02,3.66385525e+00,-7.82357913e+00,-3.28073556e+00,-5.45310602e-03,-1.07986934e-02,-1.71973789e-03,6.85794497e+00,1.71658694e-03
0.050867,9.31344450e+02,3.52244129e+00,-8.04171891e+00,-3.32714806e+00,-6.08520151e-03,-1.04026623e-02,-1.60391572e-03,6.75150445e+00,1.74005035e-03
0.052508,9.34477766e+02,3.54002723e+00,-8.13536904e+00,-3.27792306e+00,-6.59485205e-03,-9.56306671e-03,-1.38483685e-03,6.64144187e+00,1.76256387e-03
0.054149,9.37754366e+02,3.42930773e+00,-8.34578644e+00,-3.22547121e+00,-7.06674270e-03,-9.32625459e-03,-8.13299128e-04,6.52856017e+00,1.78277724e-03
0.055789,9.41179408e+02,3.03201148e+00,-8.57108676e+00,-3.25772505e+00,-7.86992640e-03,-8.75036472e-03,-2.77230905e-04,6.41194224e+00,1.79899022e-03
0.057430,9.44757404e+02,3.04826867e+00,-8.63524559e+00,-3.26292831e+00,-8.16981662e-03,-7.78685521e-03,-6.32941876e-04,6.29539950e+00,1.81347223e-03
0.059071,9.48491067e+02,2.78536460e+00,-8.81989287e+00,-3.30698351e+00,-8.66698402e-03,-7.35198051e-03,-5.22838491e-04,6.17905758e+00,1.82665572e-03
0.060712,9.52381592e+02,3.20976958e+00,-8.88005171e+00,-3.10120139e+00,-8.36891054e-03,-6.82094317e-03,-3.13420826e-04,6.06278728e+00,1.83723820e-03
0.062353,9.56428081e+02,3.33022121e+00,-8.96673483e+00,-3.10805294e+00,-8.35162063e-03,-6.21916237e-03,-8.12497081e-04,5.94954301e+00,1.84698437e-03
0.063994,9.60628345e+02,2.72808632e+00,-8.99742922e+00,-3.20139030e+00,-9.13168745e-03,-4.85923386e-03,-3.91647229e-04,5.83853243e+00,1.85228231e-03
0.065635,9.64980516e+02,2.28865921e+00,-9.11318419e+00,-3.25307370e+00,-9.58558853e-03,-4.34929285e-03,-1.07098032e-04,5.72792495e+00,1.85287167e-03
0.067276,9.69481742e+02,2.60617182e+00,-9.28508150e+00,-3.11687701e+00,-9.17909819e-03,-4.51246952e-03,1.25405468e-05,5.61828705e+00,1.85365341e-03
0.068916,9.74126125e+02,2.79728941e+00,-9.40204311e+00,-3.08193842e+00,-8.93825313e-03,-4.15194220e-03,-3.15640568e-04,5.51152606e+00,1.85414881e-03
0.070557,9.78906146e+02,2.30747366e+00,-9.44121016e+00,-3.21133734e+00,-9.38188053e-03,-3.26615688e-03,-4.58995414e-04,5.40905568e+00,1.84987214e-03
0.072198,9.83814615e+02,2.41923953e+00,-9.56500176e+00,-3.16032308e+00,-9.13023989e-03,-3.05083529e-03,-4.03053390e-04,5.31144320e+00,1.84324554e-03
0.073839,9.88842856e+02,2.87502359e+00,-9.65005231e+00,-3.11133502e+00,-8.48085076e-03,-2.38338656e-03,-8.31956085e-04,5.21749575e+00,1.83616684e-03
0.075480,9.93980387e+02,2.83396558e+00,-9.71855129e+00,-3.05304018e+00,-8.33039193e-03,-1.91111480e-03,-3.70386780e-04,5.12955624e+00,1.82670669e-03
0.077121,9.99216886e+02,2.80095846e+00,-9.73960876e+00,-3.09827061e+00,-8.11424853e-03,-1.20070225e-03,-6.67479097e-04,5.04576121e+00,1.81365417e-03
