time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.000547,8.66220298e+02,1.41197391e-01,7.00493663e-02,1.54420823e-01,1.56569670e-02,-3.62661982e-03,-5.03524658e-03,8.35814403e+00,1.21316738e-03
0.001094,8.66457111e+02,3.04868855e-01,3.67522959e-02,1.74250567e-02,1.55780853e-02,-3.73781545e-03,-5.01939869e-03,8.29558152e+00,1.20206168e-03
0.001641,8.66733593e+02,5.76435939e-01,7.20386602e-02,1.46442166e-01,1.54925062e-02,-3.90075951e-03,-5.00627319e-03,8.28076714e+00,1.19615612e-03
0.002188,8.67047362e+02,6.62614717e-01,4.41281105e-02,9.11535588e-02,1.53813484e-02,-4.03166965e-03,-5.01134825e-03,8.28039818e+00,1.19056951e-03
0.002735,8.67396127e+02,7.88227917e-01,8.50341462e-03,8.87556200e-02,1.53065737e-02,-4.21419165e-03,-4.99612536e-03,8.28559910e+00,1.18461533e-03
0.003282,8.67777696e+02,8.74400949e-01,-1.08060906e-02,1.90002787e-02,1.52163994e-02,-4.32057210e-03,-5.04439729e-03,8.29396153e+00,1.17889884e-03
0.003829,8.68189960e+02,9.79159909e-01,-8.08796283e-02,-7.01364269e-02,1.52399811e-02,-4.53278930e-03,-5.11606769e-03,8.30397131e+00,1.17330368e-03
0.004376,8.68630894e+02,1.06309821e+00,-1.83792061e-01,-1.70576590e-01,1.52881316e-02,-4.80336507e-03,-5.17359652e-03,8.31451952e+00,1.16793309e-03
0.004923,8.69098554e+02,1.12380186e+00,-3.06634665e-01,-2.75262014e-01,1.53203991e-02,-5.10750617e-03,-5.19845657e-03,8.32479391e+00,1.16268822e-03
0.005470,8.69591081e+02,1.20297884e+00,-4.07079477e-01,-3.90489275e-01,1.54018032e-02,-5.37493499e-03,-5.31853786e-03,8.33431441e+00,1.15758713e-03
0.006017,8.70106695e+02,1.33467202e+00,-3.98112630e-01,-4.34533201e-01,1.53859156e-02,-5.46802954e-03,-5.48205094e-03,8.34306797e+00,1.15283187e-03
0.006563,8.70643689e+02,1.32564954e+00,-6.48773586e-01,-6.37238484e-01,1.55596924e-02,-6.01496767e-03,-5.50222037e-03,8.35182397e+00,1.14856115e-03
