time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001641,8.66733548e+02,4.19838506e-01,5.52205944e-02,-1.77927031e-02,1.55165170e-02,-3.78585474e-03,-4.92511312e-03,8.77612638e-03,1.19624787e-03
0.003282,8.67777587e+02,8.46059595e-01,-7.67973112e-02,-9.36504575e-02,1.55556981e-02,-4.22422361e-03,-4.76859917e-03,5.74126062e-03,1.17895448e-03
0.004923,8.69098193e+02,1.21748554e+00,-1.88224659e-01,-2.51427126e-01,1.56411395e-02,-4.90317287e-03,-5.02692500e-03,5.39305113e-03,1.16294457e-03
0.006563,8.70642658e+02,1.58630609e+00,-3.29939907e-01,-3.77367685e-01,1.57676320e-02,-5.77893622e-03,-5.19159803e-03,5.57712053e-03,1.14911824e-03
0.008204,8.72364696e+02,2.01121766e+00,-5.19650670e-01,-5.18829608e-01,1.61032306e-02,-7.01205923e-03,-5.51439684e-03,5.82447181e-03,1.13749822e-03
0.009845,8.74224219e+02,2.42701779e+00,-7.69728431e-01,-6.61489254e-01,1.63372014e-02,-8.48729492e-03,-5.73441384e-03,6.01494255e-03,1.12870945e-03
0.011486,8.76186990e+02,2.82213592e+00,-9.94305758e-01,-8.34791749e-01,1.62901990e-02,-9.63117666e-03,-6.13063338e-03,6.14157337e-03,1.12336677e-03
0.013127,8.78224135e+02,3.08767093e+00,-1.19080735e+00,-1.02226295e+00,1.52388195e-02,-1.04889273e-02,-6.63118355e-03,6.22509016e-03,1.12182651e-03
0.014768,8.80312041e+02,3.37395434e+00,-1.45916553e+00,-1.10301795e+00,1.43077406e-02,-1.16547127e-02,-6.40841748e-03,6.28439589e-03,1.12396560e-03
0.016409,8.82431490e+02,3.73360052e+00,-1.78287912e+00,-1.26109501e+00,1.40576716e-02,-1.29693903e-02,-6.57088124e-03,6.33177435e-03,1.13063346e-03
0.018050,8.84567236e+02,3.97893306e+00,-2.07463851e+00,-1.38284112e+00,1.28355895e-02,-1.38600179e-02,-6.52225910e-03,6.37405472e-03,1.14178443e-03
0.019690,8.86707923e+02,4.21368044e+00,-2.41647380e+00,-1.47898931e+00,1.17834435e-02,-1.48605813e-02,-6.25047583e-03,6.41407807e-03,1.15673691e-03
0.021331,8.88845626e+02,4.42691173e+00,-2.74961268e+00,-1.58159528e+00,1.06531007e-02,-1.55866105e-02,-6.06198428e-03,6.45356169e-03,1.17559106e-03
0.022972,8.90975597e+02,4.58707049e+00,-3.08715594e+00,-1.66316274e+00,9.36803863e-03,-1.60404487e-02,-5.80423041e-03,6.49299088e-03,1.19806750e-03
0.024613,8.93095949e+02,4.72041757e+00,-3.37528912e+00,-1.79910340e+00,8.07680276e-03,-1.61017830e-02,-5.87680547e-03,6.53306429e-03,1.22441808e-03
0.026254,8.95207344e+02,4.76067537e+00,-3.65576421e+00,-1.86637385e+00,6.27966056e-03,-1.60636661e-02,-5.53220655e-03,6.57376037e-03,1.25353110e-03
0.027895,8.97312741e+02,4.93712159e+00,-4.05042182e+00,-2.01090433e+00,5.72938839e-03,-1.67797819e-02,-5.66899397e-03,6.61480890e-03,1.28445435e-03
0.029536,8.99417070e+02,5.00322589e+00,-4.34686635e+00,-2.13852517e+00,4.44418031e-03,-1.66804650e-02,-5.67038211e-03,6.65671939e-03,1.31798610e-03
0.031176,9.01526972e+02,5.04695802e+00,-4.66924641e+00,-2.23018061e+00,3.25008004e-03,-1.65573627e-02,-5.42314098e-03,6.69892301e-03,1.35217187e-03
0.032817,9.03650600e+02,5.03538544e+00,-4.92319162e+00,-2.33540004e+00,1.83199109e-03,-1.60164537e-02,-5.27834242e-03,6.74191979e-03,1.38785974e-03
0.034458,9.05797400e+02,5.04525499e+00,-5.31044632e+00,-2.41470594e+00,6.43409733e-04,-1.64455956e-02,-5.00953849e-03,6.78534744e-03,1.42336029e-03
0.036099,9.07977981e+02,5.00475298e+00,-5.59618919e+00,-2.48870867e+00,-6.15201119e-04,-1.60438024e-02,-4.80563657e-03,6.82934644e-03,1.45887027e-03
