time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001641,8.66733570e+02,4.51365134e-01,4.35766324e-02,-2.35874166e-02,1.55202353e-02,-3.82427226e-03,-4.95681824e-03,8.77598310e-03,1.19617343e-03
0.003282,8.67777661e+02,8.14312176e-01,-4.85868980e-02,-1.11930723e-01,1.54241000e-02,-4.19142126e-03,-4.88273147e-03,5.74128502e-03,1.17888508e-03
0.004923,8.69098390e+02,1.16173983e+00,-1.35886366e-01,-2.61999207e-01,1.53999607e-02,-4.77736939e-03,-5.06624535e-03,5.39315843e-03,1.16305696e-03
0.006563,8.70643022e+02,1.67136126e+00,-3.62296529e-01,-3.82686280e-01,1.62668451e-02,-6.08834258e-03,-5.17788751e-03,5.57723823e-03,1.14903235e-03
0.008204,8.72365145e+02,2.07897451e+00,-5.64625956e-01,-5.44611663e-01,1.64607859e-02,-7.34647312e-03,-5.59506369e-03,5.82463746e-03,1.13746702e-03
0.009845,8.74224706e+02,2.43910416e+00,-7.52731708e-01,-6.96425971e-01,1.62433614e-02,-8.39672618e-03,-5.91943269e-03,6.01515859e-03,1.12885803e-03
0.011486,8.76187519e+02,2.80483281e+00,-9.67520827e-01,-8.60872826e-01,1.60264119e-02,-9.50741433e-03,-6.24105350e-03,6.14179138e-03,1.12337771e-03
0.013127,8.78224848e+02,3.12354503e+00,-1.18803165e+00,-9.96830860e-01,1.54438559e-02,-1.04601952e-02,-6.34062937e-03,6.22532825e-03,1.12189680e-03
0.014768,8.80312777e+02,3.35236212e+00,-1.41523472e+00,-1.15773480e+00,1.41733576e-02,-1.13305688e-02,-6.64013008e-03,6.28479901e-03,1.12432136e-03
0.016409,8.82432156e+02,3.68374153e+00,-1.69600476e+00,-1.31498167e+00,1.37659011e-02,-1.23776924e-02,-6.81191084e-03,6.33212714e-03,1.13083507e-03
0.018050,8.84567750e+02,4.02221850e+00,-2.06182785e+00,-1.45315795e+00,1.33009168e-02,-1.38322057e-02,-6.80750716e-03,6.37432826e-03,1.14162698e-03
0.019690,8.86708080e+02,4.22356261e+00,-2.43764378e+00,-1.48148644e+00,1.18714227e-02,-1.50403290e-02,-6.07826740e-03,6.41445542e-03,1.15682937e-03
0.021331,8.88845286e+02,4.40297943e+00,-2.69936317e+00,-1.61659534e+00,1.05641863e-02,-1.51949793e-02,-6.18129590e-03,6.45370836e-03,1.17565122e-03
0.022972,8.90974721e+02,4.63094912e+00,-3.05417658e+00,-1.78135616e+00,9.66028057e-03,-1.59989351e-02,-6.40135304e-03,6.49348329e-03,1.19872519e-03
0.024613,8.93094425e+02,4.72274918e+00,-3.29973535e+00,-1.88532415e+00,8.02061274e-03,-1.58145942e-02,-6.16377629e-03,6.53371043e-03,1.22473823e-03
0.026254,8.95205117e+02,4.81977262e+00,-3.61926438e+00,-1.98027117e+00,6.63427148e-03,-1.60993152e-02,-5.96275739e-03,6.57418010e-03,1.25335535e-03
0.027895,8.97309812e+02,4.92170786e+00,-3.95750961e+00,-2.09626022e+00,5.41459599e-03,-1.64397812e-02,-5.88766225e-03,6.61538267e-03,1.28458860e-03
0.029536,8.99413514e+02,5.03120190e+00,-4.33867225e+00,-2.13713215e+00,4.48425236e-03,-1.69297760e-02,-5.28686635e-03,6.65704997e-03,1.31752293e-03
0.031176,9.01522904e+02,5.08259626e+00,-4.69753840e+00,-2.27949543e+00,3.18590517e-03,-1.71621396e-02,-5.54577780e-03,6.69923851e-03,1.35179659e-03
0.032817,9.03646317e+02,5.08389705e+00,-4.92747581e+00,-2.42062235e+00,1.82666283e-03,-1.64273722e-02,-5.62898829e-03,6.74226010e-03,1.38761657e-03
0.034458,9.05793222e+02,5.06970680e+00,-5.29840442e+00,-2.45114647e+00,5.26018538e-04,-1.66663700e-02,-4.99155687e-03,6.78567665e-03,1.42297335e-03
0.036099,9.07974203e+02,5.02518460e+00,-5.57323866e+00,-2.55229677e+00,-7.29091088e-04,-1.61439775e-02,-4.96048960e-03,6.82958383e-03,1.45852156e-03
0.037740,9.10200518e+02,4.98988433e+00,-5.88432732e+00,-2.66067461e+00,-1.79323764e-03,-1.58862672e-02,-4.90005823e-03,6.87443722e-03,1.49441709e-03
0.039381,9.12483792e+02,4.92615879e+00,-6.19620625e+00,-2.76114316e+00,-2.87743761e-03,-1.56003843e-02,-4.82881382e-03,6.91996520e-03,1.52900635e-03
0.041022,9.14835982e+02,4.76944177e+00,-6.46641301e+00,-2.77870386e+00,-4.42255325e-03,-1.49993142e-02,-4.21742587e-03,6.96628650e-03,1.56296668e-03
0.042663,9.17269116e+02,4.65366827e+00,-6.80494583e+00,-2.76463481e+00,-5.38858618e-03,-1.48562434e-02,-3.51053462e-03,7.01324168e-03,1.59517280e-03
0.044303,9.19794912e+02,4.50377457e+00,-7.07226569e+00,-2.81436330e+00,-6.43634672e-03,-1.42691714e-02,-3.30890811e-03,7.06129335e-03,1.62659195e-03
0.045944,9.22424675e+02,4.38879511e+00,-7.28875524e+00,-2.94505589e+00,-7.03321110e-03,-1.33212778e-02,-3.63029035e-03,7.11038622e-03,1.65645820e-03
0.047585,9.25168932e+02,4.21808722e+00,-7.52042104e+00,-2.97038591e+00,-7.88789084e-03,-1.26140887e-02,-3.21631225e-03,7.16079519e-03,1.68490394e-03
0.049226,9.28037400e+02,4.06604087e+00,-7.73503228e+00,-3.12432241e+00,-8.48997105e-03,-1.18695680e-02,-3.69833195e-03,7.21215400e-03,1.71097758e-03
0.050867,9.31039061e+02,3.89217865e+00,-7.97195024e+00,-3.19065320e+00,-9.09146730e-03,-1.13517061e-02,-3.49039082e-03,7.26478459e-03,1.73515347e-03
0.052508,9.34181667e+02,3.67613997e+00,-8.11338622e+00,-3.23586375e+00,-9.82442994e-03,-1.02403649e-02,-3.17820168e-03,7.31862673e-03,1.75713578e-03
0.054149,9.37471830e+02,3.45029623e+00,-8.34248142e+00,-3.22775607e+00,-1.05116120e-02,-9.83605389e-03,-2.58405393e-03,7.37363459e-03,1.77678339e-03
0.055789,9.40914985e+02,3.20859295e+00,-8.55361948e+00,-3.20665924e+00,-1.11595587e-02,-9.30363333e-03,-2.01640287e-03,7.42981384e-03,1.79375643e-03
0.057430,9.44515289e+02,2.99430283e+00,-8.63863757e+00,-3.29087147e+00,-1.14294464e-02,-8.03002104e-03,-2.17638249e-03,7.48735766e-03,1.80899742e-03
0.059071,9.48275354e+02,2.75278340e+00,-8.82059635e+00,-3.32694011e+00,-1.18864515e-02,-7.52736633e-03,-2.00771552e-03,7.54632728e-03,1.82166334e-03
0.060712,9.52196489e+02,2.50789778e+00,-8.88556235e+00,-3.32485990e+00,-1.21646729e-02,-6.30425179e-03,-1.63095180e-03,7.60653888e-03,1.83186396e-03
0.062353,9.56278565e+02,2.27881203e+00,-8.94434339e+00,-3.42336090e+00,-1.22821592e-02,-5.27899486e-03,-1.95610067e-03,7.66804129e-03,1.84013516e-03
0.063994,9.60520106e+02,2.01080193e+00,-8.96120210e+00,-3.40982257e+00,-1.25887698e-02,-4.14308326e-03,-1.48660424e-03,7.73079756e-03,1.84592598e-03
0.065635,9.64918382e+02,1.76018111e+00,-9.07121257e+00,-3.40218551e+00,-1.26938001e-02,-3.73713173e-03,-1.12645529e-03,7.79468643e-03,1.84870455e-03
0.067276,9.69469385e+02,1.50978297e+00,-9.16712027e+00,-3.40262781e+00,-1.27630230e-02,-3.26505513e-03,-8.60789600e-04,7.85983467e-03,1.84925456e-03
0.068916,9.74167860e+02,1.25161888e+00,-9.19100709e+00,-3.46132118e+00,-1.28809922e-02,-2.36695941e-03,-1.05712006e-03,7.92609597e-03,1.84747744e-03
0.070557,9.79007505e+02,9.93793173e-01,-9.22377514e+00,-3.51853173e+00,-1.29506854e-02,-1.64443818e-03,-1.14628263e-03,7.99334585e-03,1.84364765e-03
0.072198,9.83980942e+02,7.55718927e-01,-9.24339071e+00,-3.52820271e+00,-1.27672509e-02,-1.01542722e-03,-9.31522516e-04,8.06153413e-03,1.83771212e-03
0.073839,9.89079680e+02,5.33081268e-01,-9.13086433e+00,-3.59860014e+00,-1.24862980e-02,4.19905546e-04,-1.14633602e-03,8.13065283e-03,1.82950216e-03
0.075480,9.94294363e+02,2.83460587e-01,-9.08095592e+00,-3.55455413e+00,-1.23894367e-02,1.18857694e-03,-5.90089180e-04,8.20049195e-03,1.81945546e-03
0.077121,9.99614947e+02,7.82463978e-02,-8.98179567e+00,-3.60266898e+00,-1.19339916e-02,2.09687825e-03,-7.27574330e-04,8.27091335e-03,1.80769096e-03
0.078762,1.00503061e+03,-1.93774283e-01,-9.00123500e+00,-3.64303294e+00,-1.20798126e-02,2.20804502e-03,-7.70360688e-04,8.34199395e-03,1.79310209e-03
0.080402,1.01053012e+03,-4.11632773e-01,-8.87427497e+00,-3.60625386e+00,-1.17509826e-02,3.15808767e-03,-3.32966902e-04,8.41353662e-03,1.77770996e-03
0.082043,1.01610158e+03,-6.66095063e-01,-8.82922209e+00,-3.52481411e+00,-1.16899199e-02,3.49914147e-03,2.98195788e-04,8.48526373e-03,1.75930119e-03
0.083684,1.02173292e+03,-8.92455068e-01,-8.75309532e+00,-3.43185676e+00,-1.13896578e-02,3.96359457e-03,9.01336988e-04,8.55722018e-03,1.74011870e-03
0.085325,1.02741143e+03,-1.07999829e+00,-8.60201557e+00,-3.43851155e+00,-1.09232864e-02,4.81671890e-03,8.33819325e-04,8.62953003e-03,1.72039513e-03
0.086966,1.03312406e+03,-1.30165129e+00,-8.49025333e+00,-3.40599967e+00,-1.07267455e-02,5.32365122e-03,1.02115870e-03,8.70155237e-03,1.69783691e-03
0.088607,1.03885796e+03,-1.48277935e+00,-8.33014625e+00,-3.40894640e+00,-1.02515259e-02,5.97961717e-03,9.19224196e-04,8.77336367e-03,1.67496901e-03
0.090248,1.04459995e+03,-1.68382594e+00,-8.23485605e+00,-3.33769671e+00,-9.93602980e-03,6.10854271e-03,1.31304966e-03,8.84487977e-03,1.65043896e-03
0.091889,1.05033685e+03,-1.87903631e+00,-8.11508616e+00,-3.26717864e+00,-9.62066249e-03,6.40827542e-03,1.65596216e-03,8.91601973e-03,1.62453860e-03
0.093529,1.05605551e+03,-2.08969704e+00,-8.01828995e+00,-3.30059174e+00,-9.46657995e-03,6.55897365e-03,1.24534332e-03,8.98658468e-03,1.59746001e-03
0.095170,1.06174292e+03,-2.26213990e+00,-7.85865237e+00,-3.26401729e+00,-9.04968189e-03,7.03748371e-03,1.35769766e-03,9.05639763e-03,1.56995759e-03
0.096811,1.06738581e+03,-2.43635988e+00,-7.72412526e+00,-3.23887417e+00,-8.79751353e-03,7.21319676e-03,1.37290808e-03,9.12545700e-03,1.55063061e-03
0.098452,1.07297024e+03,-2.58393209e+00,-7.53796402e+00,-3.20701482e+00,-8.24691262e-03,7.79653608e-03,1.47802055e-03,9.19359704e-03,1.51325764e-03
0.100093,1.07848486e+03,-2.75809107e+00,-7.42254256e+00,-3.13939589e+00,-7.95668403e-03,7.78540918e-03,1.74608381e-03,9.26045103e-03,1.48316916e-03
0.101734,1.08391729e+03,-2.95570072e+00,-7.31695834e+00,-3.15595201e+00,-7.91162526e-03,7.73469514e-03,1.46463256e-03,9.32614603e-03,1.45257024e-03
0.103375,1.08925545e+03,-3.08171696e+00,-7.08018231e+00,-3.12543765e+00,-7.42617654e-03,8.48514944e-03,1.49720122e-03,9.39041510e-03,1.42235348e-03
0.105015,1.09448746e+03,-3.19438144e+00,-6.89288195e+00,-3.11629955e+00,-6.85719433e-03,8.75613845e-03,1.41542148e-03,9.45317956e-03,1.39142101e-03
0.106656,1.09960163e+03,-3.30966809e+00,-6.71015702e+00,-3.13339002e+00,-6.38187247e-03,8.94109393e-03,1.19466029e-03,9.51435689e-03,1.36007149e-03
0.108297,1.10458656e+03,-3.34155676e+00,-6.42369891e+00,-3.08694239e+00,-5.46446933e-03,9.70496170e-03,1.41275673e-03,9.57391571e-03,1.32882899e-03
